type,augmented,depth,width,epochs,batch_size,learning_rate,mse_train,mse_train_aug,mse_val,mse_val_aug,mse_test,mse_test_aug
eqv,True,2,4,1000,32,0.0001,0.017130350694060326,0.0165169145911932,0.011308274231851101,0.016727080568671227,0.023033879697322845,0.023033879697322845
fcnn,False,2,4,1000,32,0.0001,0.025489293038845062,0.03187184035778046,0.02057618275284767,0.0331626795232296,0.025384539738297462,0.033846233040094376
fcnn,True,2,4,1000,32,0.0001,0.018235288560390472,0.01655587926506996,0.012486811727285385,0.017111055552959442,0.023518936708569527,0.022362055256962776
fcnn,False,2,16,1000,32,0.0001,0.024261049926280975,0.030931565910577774,0.0199812613427639,0.03086842969059944,0.024590158835053444,0.032257355749607086
fcnn,True,2,16,1000,32,0.0001,0.01639731600880623,0.016034673899412155,0.010811098851263523,0.016651006415486336,0.02248981222510338,0.02298535406589508
eqv,False,2,4,1000,32,0.0001,0.024430550634860992,0.023553775623440742,0.016851074993610382,0.024609075859189034,0.02682267501950264,0.02682267315685749
eqv,True,2,4,1000,32,0.0001,0.016674846410751343,0.01609726808965206,0.011206856928765774,0.01630910113453865,0.02331201359629631,0.02331201545894146
fcnn,False,2,4,1000,32,0.0001,0.026059960946440697,0.03292287141084671,0.024164954200387,0.033319614827632904,0.02806878834962845,0.03465420380234718
fcnn,True,2,4,1000,32,0.0001,0.01764659956097603,0.017010655254125595,0.012951008975505829,0.017379436641931534,0.022109590470790863,0.02245732769370079
fcnn,False,2,16,1000,32,0.0001,0.024199366569519043,0.03135537728667259,0.019414646551012993,0.03325435519218445,0.0240543894469738,0.03271474689245224
fcnn,True,2,16,1000,32,0.0001,0.01644955575466156,0.016889020800590515,0.011005042120814323,0.016942711547017097,0.021583128720521927,0.023439869284629822
eqv,False,2,4,1000,32,0.0001,0.027622900903224945,0.02671734429895878,0.01985352672636509,0.027867212891578674,0.029586229473352432,0.029586227610707283
eqv,True,2,4,1000,32,0.0001,0.01686120219528675,0.016262544319033623,0.011184217408299446,0.01647252030670643,0.023094817996025085,0.023094817996025085
fcnn,False,2,4,1000,32,0.0001,0.03145471215248108,0.03649454563856125,0.017620297148823738,0.04029416665434837,0.025412915274500847,0.03759586066007614
fcnn,True,2,4,1000,32,0.0001,0.019642503932118416,0.01721317693591118,0.013378775678575039,0.017769237980246544,0.022832784801721573,0.022121882066130638
fcnn,False,2,16,1000,32,0.0001,0.025154564529657364,0.03254017233848572,0.018863193690776825,0.03488155081868172,0.024114662781357765,0.033536411821842194
fcnn,True,2,16,1000,32,0.0001,0.015935249626636505,0.01626139134168625,0.010370375588536263,0.016635263338685036,0.022453419864177704,0.023197799921035767
eqv,False,2,4,1000,32,0.0001,0.02610946074128151,0.0252213217318058,0.018561894074082375,0.02642269991338253,0.028308507055044174,0.028308507055044174
eqv,True,2,4,1000,32,0.0001,0.01681799441576004,0.016238080337643623,0.011310620233416557,0.01643320359289646,0.023431885987520218,0.02343188412487507
fcnn,False,2,4,1000,32,0.0001,0.027485759928822517,0.03474928066134453,0.026189589872956276,0.032315872609615326,0.029339008033275604,0.03650901839137077
fcnn,True,2,4,1000,32,0.0001,0.018233729526400566,0.016653871163725853,0.012837791815400124,0.01729409024119377,0.02300155721604824,0.02239380218088627
fcnn,False,2,16,1000,32,0.0001,0.02276046760380268,0.03064773976802826,0.020686514675617218,0.032459720969200134,0.023992594331502914,0.03247183561325073
fcnn,True,2,16,1000,32,0.0001,0.015018196776509285,0.016593651846051216,0.00923016108572483,0.01662464253604412,0.02160298079252243,0.023298515006899834
eqv,False,2,4,1000,32,0.0001,0.04579778015613556,0.044788289815187454,0.03583420068025589,0.044744811952114105,0.050541285425424576,0.05054128170013428
eqv,True,2,4,1000,32,0.0001,0.015614723786711693,0.015054375864565372,0.010240246541798115,0.015189102850854397,0.022136520594358444,0.022136520594358444
fcnn,False,2,4,1000,32,0.0001,0.026388155296444893,0.032809823751449585,0.015604541637003422,0.035791169852018356,0.0229557566344738,0.034804780036211014
fcnn,True,2,4,1000,32,0.0001,0.02579520083963871,0.024885885417461395,0.016351796686649323,0.026656100526452065,0.02691984735429287,0.02781866490840912
fcnn,False,2,16,1000,32,0.0001,0.02397751994431019,0.030497491359710693,0.018746791407465935,0.03041558712720871,0.02437208965420723,0.032229527831077576
fcnn,True,2,16,1000,32,0.0001,0.01482516061514616,0.015933340415358543,0.009548881091177464,0.01598685048520565,0.02139383926987648,0.02277195453643799
eqv,False,2,4,1000,32,0.0001,0.024745266884565353,0.02389698661863804,0.017474405467510223,0.024981390684843063,0.026622388511896133,0.026622388511896133
eqv,True,2,4,1000,32,0.0001,0.017617512494325638,0.016993993893265724,0.011648697778582573,0.017155680805444717,0.023395201191306114,0.023395203053951263
fcnn,False,2,4,1000,32,0.0001,0.02353246510028839,0.030932476744055748,0.016584990546107292,0.034670114517211914,0.02315990813076496,0.0331643708050251
fcnn,True,2,4,1000,32,0.0001,0.018270574510097504,0.01708516851067543,0.01304515078663826,0.01817239075899124,0.02291395515203476,0.02266746759414673
fcnn,False,2,16,1000,32,0.0001,0.03065977431833744,0.03593427315354347,0.02153100073337555,0.03675108775496483,0.0291640255600214,0.037190429866313934
fcnn,True,2,16,1000,32,0.0001,0.016891976818442345,0.017164107412099838,0.011152691207826138,0.01725655235350132,0.021956656128168106,0.023344749584794044
eqv,False,2,4,1000,32,0.0001,0.02506290189921856,0.024220988154411316,0.01783718727529049,0.02528766356408596,0.02689993754029274,0.02689993567764759
eqv,True,2,4,1000,32,0.0001,0.017174899578094482,0.016561172902584076,0.011349142529070377,0.016770489513874054,0.023007553070783615,0.023007553070783615
fcnn,False,2,4,1000,32,0.0001,0.02746744081377983,0.035088106989860535,0.024329762905836105,0.039059676229953766,0.028137801215052605,0.03607628494501114
fcnn,True,2,4,1000,32,0.0001,0.03193306177854538,0.03071488067507744,0.021129174157977104,0.03368501365184784,0.031440332531929016,0.03190464898943901
fcnn,False,2,16,1000,32,0.0001,0.02452464960515499,0.031351421028375626,0.018518900498747826,0.033372145146131516,0.02367485873401165,0.03306357190012932
fcnn,True,2,16,1000,32,0.0001,0.0168213602155447,0.017189007252454758,0.011010040529072285,0.017344631254673004,0.02188309282064438,0.023155709728598595
eqv,False,2,4,1000,32,0.0001,0.026692815124988556,0.02578730136156082,0.019051339477300644,0.027066854760050774,0.02831084653735161,0.028310848399996758
eqv,True,2,4,1000,32,0.0001,0.017236847430467606,0.016613394021987915,0.01133575476706028,0.016843313351273537,0.023153381422162056,0.023153379559516907
fcnn,False,2,4,1000,32,0.0001,0.02482030540704727,0.03151889145374298,0.020441140979528427,0.03010554425418377,0.025268686935305595,0.033333905041217804
fcnn,True,2,4,1000,32,0.0001,0.016405966132879257,0.015992332249879837,0.010769575834274292,0.01607682928442955,0.022243937477469444,0.02231137454509735
fcnn,False,2,16,1000,32,0.0001,0.026913749054074287,0.0337199941277504,0.02292170561850071,0.03528875112533569,0.027039185166358948,0.035014357417821884
fcnn,True,2,16,1000,32,0.0001,0.015219415538012981,0.015864918008446693,0.010311562567949295,0.01615084707736969,0.02176779881119728,0.023239895701408386
eqv,False,3,4,1000,32,0.0001,0.17433810234069824,0.17289352416992188,0.16530069708824158,0.17814333736896515,0.17566168308258057,0.17566168308258057
eqv,True,3,4,1000,32,0.0001,0.01469332817941904,0.014157424680888653,0.009619008749723434,0.014353128150105476,0.02311044931411743,0.02311044931411743
fcnn,False,3,4,1000,32,0.0001,0.017544355243444443,0.025004632771015167,0.012503212317824364,0.025964321568608284,0.01800926774740219,0.02947263792157173
fcnn,True,3,4,1000,32,0.0001,0.01432268600910902,0.016101744025945663,0.009214665740728378,0.01600983925163746,0.01953999325633049,0.022145764902234077
fcnn,False,3,16,1000,32,0.0001,0.01614632084965706,0.02405848726630211,0.011367563158273697,0.024605942890048027,0.016518430784344673,0.028296269476413727
fcnn,True,3,16,1000,32,0.0001,0.014405382797122002,0.015674537047743797,0.009966292418539524,0.01605427823960781,0.02043803036212921,0.02284114435315132
eqv,False,3,4,1000,32,0.0001,0.020036978647112846,0.019303547218441963,0.013479042798280716,0.01996489241719246,0.02340346947312355,0.0234034676104784
eqv,True,3,4,1000,32,0.0001,0.014640284702181816,0.014140444807708263,0.009896043688058853,0.014311369508504868,0.022269312292337418,0.02226931042969227
fcnn,False,3,4,1000,32,0.0001,0.019153721630573273,0.026326555758714676,0.013253343291580677,0.026728659868240356,0.01920398324728012,0.029084742069244385
fcnn,True,3,4,1000,32,0.0001,0.015256215818226337,0.015368977561593056,0.010194231756031513,0.015440072864294052,0.021612554788589478,0.021592676639556885
fcnn,False,3,16,1000,32,0.0001,0.012853147462010384,0.021693220362067223,0.009271652437746525,0.020886244252324104,0.01588115654885769,0.026304755359888077
fcnn,True,3,16,1000,32,0.0001,0.013948185369372368,0.014913145452737808,0.009790545329451561,0.015317515470087528,0.020653972402215004,0.02216768078505993
eqv,False,3,4,1000,32,0.0001,0.01695248670876026,0.0163332037627697,0.01112110260874033,0.016592368483543396,0.021502802148461342,0.02150280401110649
eqv,True,3,4,1000,32,0.0001,0.014702392742037773,0.01419169083237648,0.009797614067792892,0.014307890087366104,0.02121889591217041,0.02121889591217041
fcnn,False,3,4,1000,32,0.0001,0.023955542594194412,0.031239310279488564,0.018596457317471504,0.03305215388536453,0.024107635021209717,0.033034224063158035
fcnn,True,3,4,1000,32,0.0001,0.01509798038750887,0.015595859847962856,0.010302672162652016,0.015620690770447254,0.020871702581644058,0.022383885458111763
fcnn,False,3,16,1000,32,0.0001,0.013840400613844395,0.02230963110923767,0.009713338688015938,0.022940343245863914,0.015331484377384186,0.027082201093435287
fcnn,True,3,16,1000,32,0.0001,0.014962761662900448,0.015256955288350582,0.010013380087912083,0.01554623618721962,0.0209449864923954,0.022350942716002464
eqv,False,3,4,1000,32,0.0001,0.02185727469623089,0.0210635457187891,0.015002674423158169,0.02202596515417099,0.025149352848529816,0.025149349123239517
eqv,True,3,4,1000,32,0.0001,0.016189657151699066,0.015608205460011959,0.010764280334115028,0.015902146697044373,0.02235286682844162,0.02235286682844162
fcnn,False,3,4,1000,32,0.0001,0.022443467751145363,0.029790479689836502,0.0190243199467659,0.031425923109054565,0.025810353457927704,0.03200579434633255
fcnn,True,3,4,1000,32,0.0001,0.015812542289495468,0.017436476424336433,0.01079853717237711,0.018148154020309448,0.020505884662270546,0.023049691691994667
fcnn,False,3,16,1000,32,0.0001,0.01314275711774826,0.022349683567881584,0.009442102164030075,0.022257311269640923,0.015502635389566422,0.0268322192132473
fcnn,True,3,16,1000,32,0.0001,0.014788864180445671,0.015505903400480747,0.009557227604091167,0.015736574307084084,0.021511323750019073,0.02276565320789814
eqv,False,3,4,1000,32,0.0001,0.022014984861016273,0.021217120811343193,0.015069941058754921,0.02212885580956936,0.02490527555346489,0.02490527741611004
eqv,True,3,4,1000,32,0.0001,0.015681451186537743,0.015149502083659172,0.010707766748964787,0.015408055856823921,0.022084396332502365,0.022084398195147514
fcnn,False,3,4,1000,32,0.0001,0.020493775606155396,0.027452530339360237,0.015688005834817886,0.029945235699415207,0.0192379392683506,0.029703263193368912
fcnn,True,3,4,1000,32,0.0001,0.016530636698007584,0.017105691134929657,0.010036838240921497,0.01763869822025299,0.020945094525814056,0.02266092598438263
fcnn,False,3,16,1000,32,0.0001,0.016664676368236542,0.025736089795827866,0.011850378476083279,0.027356252074241638,0.018070628866553307,0.02997029572725296
fcnn,True,3,16,1000,32,0.0001,0.014448124915361404,0.015158851630985737,0.009566397406160831,0.015422318130731583,0.021403547376394272,0.022751949727535248
eqv,False,3,4,1000,32,0.0001,0.01923285238444805,0.018511492758989334,0.012799693271517754,0.019179094582796097,0.023178856819868088,0.023178858682513237
eqv,True,3,4,1000,32,0.0001,0.014500145800411701,0.014007318764925003,0.009877320379018784,0.01423169020563364,0.023596085608005524,0.023596085608005524
fcnn,False,3,4,1000,32,0.0001,0.025133393704891205,0.031612806022167206,0.0159438643604517,0.0349014550447464,0.02147582545876503,0.03286677598953247
fcnn,True,3,4,1000,32,0.0001,0.01791820488870144,0.01635783351957798,0.013235151767730713,0.01702098548412323,0.025257889181375504,0.02234233357012272
fcnn,False,3,16,1000,32,0.0001,0.012133492156863213,0.022052204236388206,0.008595478720963001,0.021610412746667862,0.014276444911956787,0.027223756536841393
fcnn,True,3,16,1000,32,0.0001,0.014723962172865868,0.01542938407510519,0.009916802868247032,0.015782393515110016,0.021712321788072586,0.022342462092638016
eqv,False,3,4,1000,32,0.0001,0.021635113283991814,0.0208422988653183,0.014710942283272743,0.021724816411733627,0.024767981842160225,0.024767979979515076
eqv,True,3,4,1000,32,0.0001,0.015513701364398003,0.014984588138759136,0.010695804841816425,0.015373297967016697,0.022324975579977036,0.022324977442622185
fcnn,False,3,4,1000,32,0.0001,0.020146705210208893,0.027862630784511566,0.018359722569584846,0.02911345846951008,0.023404881358146667,0.031218690797686577
fcnn,True,3,4,1000,32,0.0001,0.014632969163358212,0.015376546420156956,0.010012581013143063,0.015868471935391426,0.021230800077319145,0.021913059055805206
fcnn,False,3,16,1000,32,0.0001,0.01631954126060009,0.0244930200278759,0.012127845548093319,0.024967193603515625,0.017140213400125504,0.02790374681353569
fcnn,True,3,16,1000,32,0.0001,0.015437230467796326,0.01590929925441742,0.009828678332269192,0.01560981199145317,0.020223144441843033,0.022168029099702835
eqv,False,3,4,1000,32,0.0001,0.021050259470939636,0.020293908193707466,0.014410167001187801,0.02110084518790245,0.024168388918042183,0.024168388918042183
eqv,True,3,4,1000,32,0.0001,0.016692399978637695,0.016090506687760353,0.011040621437132359,0.016358518972992897,0.022733673453330994,0.022733673453330994
fcnn,False,3,4,1000,32,0.0001,0.01997506432235241,0.028547976166009903,0.01240239106118679,0.031023960560560226,0.017896201461553574,0.03169120475649834
fcnn,True,3,4,1000,32,0.0001,0.01692263036966324,0.01743922010064125,0.0112466337159276,0.017625564709305763,0.019919350743293762,0.02306615374982357
fcnn,False,3,16,1000,32,0.0001,0.01254212111234665,0.022583913058042526,0.009013498201966286,0.022135581821203232,0.013979366049170494,0.02781493216753006
fcnn,True,3,16,1000,32,0.0001,0.014847064390778542,0.015280235558748245,0.00994809903204441,0.015581336803734303,0.021386178210377693,0.022653337568044662
eqv,False,3,4,1000,32,0.0001,0.02356131561100483,0.02271341346204281,0.01632069982588291,0.023824812844395638,0.026281697675585747,0.026281697675585747
eqv,True,3,4,1000,32,0.0001,0.014450015500187874,0.0139507707208395,0.00984601303935051,0.014258453622460365,0.024298636242747307,0.024298636242747307
fcnn,False,3,4,1000,32,0.0001,0.01886722631752491,0.026275528594851494,0.013617166317999363,0.02813085727393627,0.018649647012352943,0.029500098899006844
fcnn,True,3,4,1000,32,0.0001,0.016597634181380272,0.017296772450208664,0.01069421973079443,0.01715255156159401,0.020627785474061966,0.02251662127673626
fcnn,False,3,16,1000,32,0.0001,0.013539135456085205,0.02253895066678524,0.01022016629576683,0.021779771894216537,0.015078267082571983,0.027250155806541443
fcnn,True,3,16,1000,32,0.0001,0.01549484021961689,0.01592901721596718,0.010266023688018322,0.016300788149237633,0.02138870768249035,0.0228845477104187
eqv,False,3,4,1000,32,0.0001,0.023355096578598022,0.02251291275024414,0.016121668741106987,0.023574424907565117,0.02605118416249752,0.02605118229985237
eqv,True,3,4,1000,32,0.0001,0.015209482051432133,0.014666679315268993,0.01035106461495161,0.015151037834584713,0.022639434784650803,0.022639436647295952
fcnn,False,3,4,1000,32,0.0001,0.02623153291642666,0.032759811729192734,0.023036746308207512,0.03570181503891945,0.02893640100955963,0.03549925610423088
fcnn,True,3,4,1000,32,0.0001,0.015530348755419254,0.015253325924277306,0.011014338582754135,0.015593980439007282,0.022005656734108925,0.021699240431189537
fcnn,False,3,16,1000,32,0.0001,0.013369789347052574,0.023101182654500008,0.009933427907526493,0.022256530821323395,0.015089897438883781,0.027554957196116447
fcnn,True,3,16,1000,32,0.0001,0.015149993821978569,0.015884827822446823,0.009790422394871712,0.016391083598136902,0.021296663209795952,0.02264905720949173
eqv,False,4,4,1000,32,0.0001,0.020640892907977104,0.019872594624757767,0.013957944698631763,0.020755374804139137,0.024418160319328308,0.024418160319328308
eqv,True,4,4,1000,32,0.0001,0.014464905485510826,0.013965061865746975,0.009810958057641983,0.014227923937141895,0.02349260076880455,0.02349260076880455
fcnn,False,4,4,1000,32,0.0001,0.01646270416676998,0.024556323885917664,0.01152671966701746,0.02392026036977768,0.021569309756159782,0.028692353516817093
fcnn,True,4,4,1000,32,0.0001,0.014829864725470543,0.015367928892374039,0.010398248210549355,0.015678156167268753,0.021635733544826508,0.021885965019464493
