,mfc1,mfc2,mfc3,mfc4,x1,y1,s1,x2,y2,s2,x3,y3,s3,n,split
42.0,0.13468511402607,0.190349742770195,0.280663162469864,0.16469994187355,0.6355,0.5825,0.3,0.75685,0.647775,0.6,,,,2,train
43.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
44.0,0.245456874370575,0.133151173591614,0.132576018571854,0.263587415218353,0.005425,0.4863,0.6,0.4023,0.8105,0.3,,,,2,train
45.0,0.077426977455616,0.0927908048033714,0.102059312164783,0.0992395505309105,0.662125,0.465,0.3,0.531625,0.654525,0.45,,,,2,train
47.0,0.0492566339671612,0.0444709956645966,0.0521680414676666,0.111638061702251,0.3119,0.780875,0.45,,,,,,,1,train
49.0,0.0567093640565872,0.0228762961924076,0.0,0.018870247527957,0.239025,0.00235,0.3,,,,,,,1,train
50.0,0.154284730553627,0.258441001176834,0.243927761912346,0.162578195333481,0.773525,0.456425,0.6,0.6234,0.9546,0.3,,,,2,train
51.0,0.115788169205188,0.0891119614243507,0.0960768014192581,0.525289833545685,0.3781,0.253725,0.3,0.12865,0.91065,0.6,,,,2,train
52.0,0.174042746424675,0.447055727243423,0.151137739419937,0.121722072362899,0.2344,0.16405,0.3,0.81415,0.0999,0.6,0.69345,0.926575,0.3,3,train
53.0,0.0440650433301926,0.054736964404583,0.0840586796402931,0.0634672939777374,0.644525,0.7198,0.45,,,,,,,1,train
54.0,0.0706632435321808,0.507588624954224,0.0609420202672482,0.056632325053215,0.88675,0.0734,0.6,,,,,,,1,train
55.0,0.388158738613129,0.12309655547142,0.0761229991912842,0.106484964489936,0.231525,0.05875,0.6,,,,,,,1,train
56.0,0.107024863362312,0.0997267812490463,0.0979760214686394,0.0739943608641624,0.21315,0.0723,0.3,0.764625,0.544425,0.45,,,,2,train
57.0,0.0271769128739834,0.0426087416708469,0.0135482335463166,0.0222844947129488,0.5974,0.126375,0.3,,,,,,,1,train
58.0,0.13965217769146,0.301228642463684,0.227180898189545,0.136274799704552,0.83035,0.36115,0.6,0.8212,0.982525,0.3,,,,2,train
59.0,0.120807483792305,0.106102049350738,0.145506769418716,0.331629902124405,0.306525,0.86355,0.6,,,,,,,1,train
60.0,0.123543664813041,0.0525454096496105,0.035825964063406,0.0644723698496819,0.15005,0.30625,0.45,,,,,,,1,train
61.0,0.170522958040237,0.284109860658646,0.135431528091431,0.12686251103878,0.6518,0.239375,0.6,,,,,,,1,train
62.0,0.0669563263654709,0.0755639374256134,0.540996015071869,0.111510679125785,0.1145,0.67615,0.3,0.88735,0.980725,0.6,,,,2,train
63.0,0.0520124845206738,0.0895787999033928,0.0820670276880264,0.0565476454794407,0.78245,0.5147,0.45,,,,,,,1,train
64.0,0.257576942443848,0.195383086800575,0.101531259715557,0.120595067739486,0.420325,0.025975,0.6,,,,,,,1,train
66.0,0.18118442595005,0.111231036484241,0.078995518386364,0.107506670057773,0.207175,0.0247,0.3,0.285725,0.3857,0.45,0.633425,0.3986,0.3,3,train
67.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
68.0,0.456528306007385,0.403755813837051,0.299481898546219,0.507172644138336,0.70675,0.0173,0.45,0.302875,0.466675,0.6,0.207725,0.6046,0.6,3,train
69.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
70.0,0.149044930934906,0.236226201057434,0.266253501176834,0.231895387172699,0.960675,0.0928,0.3,0.540925,0.39605,0.3,0.565075,0.848075,0.6,3,train
71.0,0.177629411220551,0.254351437091827,0.204371139407158,0.14709860086441,0.08755,0.265475,0.3,0.817,0.455325,0.6,,,,2,train
72.0,0.268468618392944,0.282535284757614,0.242721572518349,0.263883590698242,0.507475,0.20405,0.6,0.377825,0.9326,0.45,0.886175,0.80635,0.3,3,train
73.0,0.0434689559042454,0.0421463064849377,0.0414501167833805,0.0767544507980347,2.5e-05,0.687275,0.3,0.56355,0.633075,0.3,,,,2,train
74.0,0.356497198343277,0.188760966062546,0.169824779033661,0.355869472026825,0.192825,0.20775,0.45,0.190575,0.543,0.6,0.020375,0.7841,0.3,3,train
76.0,0.0401930809020996,0.0330192223191261,0.0145906694233417,0.0254345014691353,0.389225,0.226625,0.3,,,,,,,1,train
77.0,0.0192451253533363,0.0566137470304966,0.0136600108817219,0.0181675385683775,0.795875,0.1887,0.3,,,,,,,1,train
78.0,0.156594827771187,0.117388136684894,0.132298961281776,0.28222119808197,0.247275,0.67385,0.6,,,,,,,1,train
79.0,0.305365055799484,0.11454327404499,0.0922650545835495,0.161054462194443,0.044025,0.32995,0.6,,,,,,,1,train
80.0,0.0151398228481411,0.0261417273432016,0.0470974035561085,0.0219865813851357,0.853,0.741425,0.3,,,,,,,1,train
81.0,0.120696291327476,0.163207530975342,0.158398881554604,0.0987949073314667,0.5449,0.1847,0.45,0.8868,0.66685,0.45,,,,2,train
82.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
83.0,0.22719070315361,0.135922476649284,0.132257908582687,0.297481000423431,0.197375,0.459425,0.3,0.11805,0.5807,0.6,,,,2,train
84.0,0.247809931635857,0.25431752204895,0.201762333512306,0.261702626943588,0.63975,0.239375,0.45,0.374425,0.5553,0.6,,,,2,train
85.0,0.0443366877734661,0.136873543262482,0.0543134063482285,0.0415352322161198,0.979125,0.296475,0.45,,,,,,,1,train
86.0,0.321410626173019,0.309145539999008,0.154900029301643,0.190105348825455,0.5621,0.030875,0.6,0.0692,0.36575,0.45,,,,2,train
87.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
88.0,0.226385667920113,0.189366415143013,0.17477959394455,0.206102654337883,0.37915,0.443375,0.6,0.783275,0.601575,0.3,,,,2,train
89.0,0.0674461051821709,0.0912991687655449,0.224855124950409,0.0998869761824608,0.933875,0.6779,0.3,0.652475,0.864125,0.45,0.987575,0.830425,0.3,3,train
90.0,0.0175409372895956,0.0564559772610664,0.0147622767835855,0.0181906595826149,0.8721,0.24505,0.3,,,,,,,1,train
91.0,0.120492562651634,0.125392690300941,0.0654784664511681,0.0746182203292847,0.39835,0.190925,0.3,0.536275,0.213225,0.45,,,,2,train
92.0,0.0720220878720284,0.106628350913524,0.0674138069152832,0.0634274408221245,0.63555,0.3687,0.45,,,,,,,1,train
93.0,0.252596288919449,0.29771813750267,0.277830511331558,0.250766605138779,0.008325,0.4555,0.45,0.80895,0.49805,0.6,0.025775,0.539925,0.3,3,train
94.0,0.107674375176429,0.0734905228018761,0.0406333096325397,0.0552780032157898,0.364325,0.188225,0.45,,,,,,,1,train
96.0,0.112843468785285,0.110687971115112,0.145316913723946,0.1655542999506,0.236125,0.629175,0.45,0.6821,0.6943,0.45,,,,2,train
97.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
98.0,0.53357857465744,0.558485686779022,0.621478259563446,0.377389788627625,0.753225,0.22185,0.6,0.18195,0.2923,0.6,0.87135,0.8108,0.6,3,train
99.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
