MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,total flow rate,mfc6_residual,mfc7_residual,mfc8_residual,mfc9_residual,mfc10_residual,mfc1_residual,mfc2_residual,mfc3_residual,mfc4_residual,mfc5_residual,tot_residual_flow
0.0101,0.015,0.0197,0.0529,0.1094,0.0092,0.0123,0.0164,0.0407,0.0747,0.3604,0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0161
0.0391,0.075,0.0479,0.0205,0.0285,0.0343,0.0483,0.0369,0.0193,0.0102,0.36,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0097,0.0147,0.0161,0.038,0.2062,0.0095,0.0121,0.0119,0.0277,0.0657,0.4116,0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0167
0.0383,0.0414,0.026,0.0142,0.0293,0.068,0.1032,0.0314,0.0157,0.0102,0.3777,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0343,0.0786,0.0586,0.0229,0.0297,0.0267,0.042,0.0388,0.0204,0.017,0.369,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0165,0.0274,0.0275,0.0198,0.0295,0.0178,0.0464,0.1301,0.0264,0.0123,0.3537,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0,0.0,0.0144,0.0407,0.1496,0.0,0.0,0.0142,0.0357,0.1075,0.3621,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0,0.0163,0.033,0.1101,0.0868,0.0,0.0136,0.0293,0.064,0.0722,0.4253,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0,0.0159,0.0271,0.0665,0.0639,0.0,0.0144,0.0298,0.0784,0.0892,0.3852,0,0.0116,0.0094,0.0,0.0114,0.0,0.0103,0.0,0.0008,0.0,0.0435
0.0743,0.0498,0.0221,0.0092,0.0247,0.1035,0.0512,0.0201,0.0,0.0,0.3549,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0866,0.0669,0.0323,0.0168,0.0302,0.0972,0.064,0.0292,0.0143,0.0101,0.4476,0,0.0,0.0,0.0,0.02465,0.0,0.0,0.0,0.0,0.0,0.02465
0.047,0.0446,0.0255,0.0121,0.0097,0.1017,0.0975,0.0314,0.0125,0.0,0.382,0,0.0113,0.0096,0.0,0.0143,0.0,0.0,0.0,0.0095,0.0116,0.0563
0.0303,0.048,0.0452,0.028,0.0138,0.0371,0.0886,0.0978,0.0331,0.0146,0.4365,0,0.0135,0.0113,0.0096,0.0139,0.0,0.012,0.0091,0.0106,0.0101,0.0901
0.0402,0.0389,0.0215,0.0111,0.0207,0.1045,0.0852,0.0241,0.0115,0.0,0.3577,0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0167
0.0354,0.0607,0.0451,0.0222,0.0301,0.0361,0.0608,0.0482,0.0216,0.0114,0.3716,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0291,0.0427,0.0323,0.0184,0.0279,0.035,0.0896,0.0605,0.0207,0.0096,0.3658,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0595,0.0409,0.0211,0.01,0.0,0.1996,0.0607,0.0227,0.01,0.0,0.4245,0,0.0135,0.0113,0.0096,0.0139,0.0,0.012,0.0091,0.0106,0.0101,0.0901
0.12,0.1061,0.0345,0.0164,0.0098,0.0052,0.0475,0.0272,0.0146,0.0089,0.3902,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0109,0.0202,0.0305,0.0383,0.0476,0.0088,0.0177,0.0616,0.0977,0.0314,0.3647,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0,0.0105,0.0115,0.0218,0.0621,0.0,0.0,0.0103,0.0318,0.1973,0.3453,0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0218
0.0228,0.038,0.0331,0.0206,0.0304,0.0301,0.0876,0.0816,0.0244,0.0119,0.3805,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0555,0.1797,0.0394,0.0176,0.011,0.0353,0.0372,0.0257,0.0155,0.0104,0.4273,0,0.0135,0.0113,0.0096,0.0139,0.0,0.012,0.0091,0.0106,0.0101,0.0901
0.0096,0.0192,0.0337,0.0611,0.0462,0.0102,0.0188,0.0453,0.1207,0.0603,0.4251,0,0.0005,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0114
0.057,0.0406,0.0186,0.0,0.0,0.1751,0.0533,0.0194,0.0,0.0,0.364,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0094,0.0146,0.0182,0.0499,0.0993,0.0,0.0117,0.0181,0.0522,0.093,0.3664,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0093,0.0141,0.0248,0.1116,0.0947,0.0,0.0125,0.0171,0.0357,0.0462,0.366,0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0152
0.009,0.016,0.0235,0.0378,0.031,0.0092,0.0156,0.0343,0.1271,0.0477,0.3512,0,0.0116,0.0094,0.0,0.0114,0.0,0.0103,0.0,0.0008,0.0,0.0435
0.0,0.0,0.0107,0.0374,0.1476,0.0,0.0,0.0107,0.0327,0.1069,0.346,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0,0.014,0.0261,0.1913,0.047,0.0,0.0096,0.0154,0.0243,0.0215,0.3492,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0,0.0166,0.0248,0.0468,0.0575,0.0,0.0143,0.0315,0.1164,0.0625,0.3704,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0558,0.0715,0.0341,0.0127,0.0208,0.0472,0.0515,0.0272,0.0132,0.0,0.334,0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0152
0.1041,0.0514,0.0234,0.0122,0.011,0.0952,0.0483,0.0219,0.0115,0.0,0.379,0,0.0079,0.016,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0343
0.0296,0.0853,0.1074,0.0312,0.0126,0.0246,0.0358,0.0364,0.0228,0.0118,0.3975,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0112,0.0175,0.0353,0.1332,0.0749,0.0123,0.0171,0.0286,0.0515,0.0562,0.4378,0,0.0135,0.0113,0.0096,0.0139,0.0,0.012,0.0091,0.0106,0.0101,0.0901
0.0087,0.0132,0.0199,0.0566,0.1268,0.0,0.0121,0.0161,0.0397,0.0751,0.3682,0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0152
0.1319,0.0764,0.024,0.0,0.0,0.0421,0.0353,0.0179,0.0,0.0,0.3276,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0,0.0146,0.0249,0.0988,0.0905,0.0,0.0107,0.0201,0.0452,0.0523,0.3571,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.2147,0.0436,0.0162,0.0,0.0,0.0315,0.0253,0.0131,0.0,0.0,0.3444,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.1569,0.0677,0.0211,0.0,0.0,0.0399,0.0323,0.0157,0.0,0.0,0.3336,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0284,0.0551,0.0579,0.03,0.013,0.0284,0.0515,0.0583,0.0288,0.0128,0.3642,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0,0.011,0.0134,0.0364,0.0959,0.0,0.0,0.0132,0.043,0.1388,0.3517,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0961,0.1016,0.0371,0.0144,0.0,0.0611,0.0553,0.03,0.0133,0.0,0.4089,0,0.0135,0.0113,0.0096,0.0139,0.0,0.012,0.0091,0.0106,0.0101,0.0901
0.0611,0.0437,0.021,0.0112,0.0268,0.1194,0.0505,0.0197,0.011,0.0,0.3644,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0332,0.101,0.0821,0.0262,0.0342,0.0262,0.0361,0.0326,0.0213,0.0124,0.4053,0,0.0,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0255
0.0546,0.0531,0.0277,0.0138,0.0268,0.0809,0.0723,0.0292,0.014,0.0,0.3724,0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0218
0.0274,0.0387,0.0291,0.0165,0.03,0.0342,0.0997,0.0521,0.0183,0.0092,0.3552,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0506,0.0443,0.0223,0.0105,0.0,0.1256,0.09,0.0271,0.0097,0.0,0.3801,0,0.0116,0.0094,0.0,0.0114,0.0,0.0103,0.0,0.0008,0.0,0.0435
0.0,0.0117,0.0147,0.0322,0.1105,0.0,0.0096,0.0121,0.0333,0.1619,0.386,0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0161
0.0656,0.041,0.0206,0.0089,0.0195,0.1271,0.0474,0.0175,0.0095,0.0,0.3571,0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0152
0.0,0.0122,0.018,0.0334,0.054,0.0,0.0107,0.0227,0.1377,0.059,0.3477,0,0.0,0.0,0.0,0.02465,0.0,0.0,0.0,0.0,0.0,0.02465
0.1056,0.0964,0.0358,0.0154,0.0,0.064,0.0553,0.0297,0.014,0.0,0.4162,0,0.0116,0.0094,0.0,0.0114,0.0,0.0103,0.0,0.0008,0.0,0.0435
0.1049,0.076,0.0341,0.017,0.01,0.092,0.0662,0.0318,0.0159,0.0094,0.4573,0,0.0137,0.0112,0.0091,0.0132,0.0,0.0122,0.0092,0.0105,0.0106,0.0897
0.0172,0.037,0.1072,0.0693,0.0455,0.0152,0.0246,0.0355,0.0355,0.0222,0.4092,0,0.0,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0255
0.1525,0.0598,0.0248,0.0124,0.0111,0.0682,0.0411,0.0217,0.0116,0.0,0.4032,0,0.0113,0.0096,0.0,0.0143,0.0,0.0,0.0,0.0095,0.0116,0.0563
0.01,0.0156,0.0195,0.0551,0.1728,0.009,0.0129,0.0151,0.0291,0.0463,0.3854,0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0161
0.0676,0.0979,0.0379,0.0165,0.0123,0.0471,0.0494,0.0298,0.0154,0.0094,0.3833,0,0.0117,0.0,0.0,0.0011,0.0036,0.0131,0.0,0.0,0.0,0.0295
0.0,0.0,0.0143,0.0411,0.1298,0.0,0.0,0.0128,0.0402,0.1266,0.3648,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0159,0.0383,0.1065,0.0492,0.0371,0.0133,0.0228,0.0324,0.029,0.0174,0.3619,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
