,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,mfc10_residual
391,0.0125,0.0316,0.1525,0.0435,0.0355,0.0,0.017,0.0242,0.0152,0.0,0.0238
359,0.0291,0.0427,0.0323,0.0184,0.0279,0.035,0.0896,0.0605,0.0207,0.0096,0.0238
667,0.0,0.0117,0.0147,0.0322,0.1105,0.0,0.0096,0.0121,0.0333,0.1619,0.0161
745,0.0157,0.0348,0.0708,0.0577,0.0343,0.0136,0.0273,0.0498,0.0443,0.0227,0.0152
513,0.0111,0.0184,0.0277,0.0872,0.1104,0.0105,0.015,0.0215,0.0534,0.0725,0.0173
281,0.0,0.0016,0.0114,0.0276,0.1033,0.0,0.0,0.0,0.0288,0.142,0.0238
17,0.0332,0.101,0.0821,0.0262,0.0342,0.0262,0.0361,0.0326,0.0213,0.0124,0.0255
785,0.0136,0.0248,0.0356,0.0346,0.0337,0.0123,0.0253,0.0757,0.0747,0.0255,0.0152
181,0.0209,0.0513,0.0896,0.0388,0.0364,0.0177,0.0301,0.0399,0.0289,0.0171,0.0238
283,0.0364,0.0369,0.0224,0.0128,0.0294,0.0814,0.109,0.0258,0.0128,0.0098,0.0238
517,0.0177,0.0329,0.0403,0.0292,0.0291,0.0182,0.0421,0.1017,0.04,0.0163,0.0173
475,0.0,0.0114,0.0131,0.0313,0.137,0.0,0.0,0.0103,0.0287,0.1093,0.0218
113,0.0,0.0122,0.018,0.0334,0.054,0.0,0.0107,0.0227,0.1377,0.059,0.0238
285,0.0159,0.0383,0.1065,0.0492,0.0371,0.0133,0.0228,0.0324,0.029,0.0174,0.0238
549,0.0314,0.0483,0.0391,0.0205,0.0246,0.038,0.0826,0.0572,0.0221,0.0104,0.0167
743,0.0103,0.0162,0.0209,0.0336,0.0428,0.0094,0.0144,0.0248,0.1353,0.0599,0.0152
729,0.0265,0.1649,0.0369,0.0128,0.0209,0.0129,0.02,0.0157,0.011,0.0,0.0161
78,0.0093,0.0144,0.0189,0.0386,0.0728,0.0005,0.0122,0.0204,0.074,0.1405,0.0238
255,0.0,0.0163,0.0365,0.1612,0.0476,0.0,0.0121,0.0184,0.0253,0.0224,0.0238
74,0.031,0.1031,0.0848,0.027,0.0338,0.0245,0.0319,0.0316,0.0222,0.0147,0.0238
441,0.0097,0.017,0.0266,0.0789,0.0842,0.0,0.0137,0.0235,0.0556,0.0601,0.0218
817,0.0133,0.0288,0.0966,0.0698,0.0333,0.0103,0.0199,0.029,0.0301,0.019,0.0152
99,0.1048,0.0643,0.0275,0.0148,0.0282,0.0555,0.0404,0.0226,0.0143,0.0098,0.0238
615,0.0152,0.0358,0.0839,0.0617,0.0348,0.0138,0.0252,0.0396,0.0383,0.0211,0.0167
578,0.1344,0.065,0.0244,0.0118,0.0224,0.0435,0.0334,0.0177,0.0113,0.0,0.0167
317,0.0625,0.0789,0.0387,0.0181,0.0272,0.0585,0.0628,0.0346,0.0168,0.0093,0.0238
421,0.0,0.0,0.0122,0.0452,0.1469,0.0,0.0,0.0101,0.0335,0.0786,0.0218
623,0.0184,0.0462,0.1657,0.0356,0.0272,0.0166,0.0246,0.0275,0.0226,0.0133,0.0167
417,0.0128,0.0257,0.0373,0.0387,0.0419,0.0108,0.0254,0.0777,0.0656,0.0257,0.0238
625,0.0206,0.0469,0.0689,0.0341,0.0279,0.0194,0.0346,0.0464,0.0298,0.0148,0.0167
431,0.0445,0.0549,0.0324,0.0161,0.0279,0.0575,0.0826,0.0376,0.0166,0.0092,0.0218
565,0.0636,0.043,0.0219,0.0111,0.0219,0.1278,0.0472,0.0191,0.0111,0.0,0.0167
529,0.0432,0.0527,0.0331,0.0152,0.0189,0.0621,0.0991,0.0395,0.0162,0.0,0.0167
839,0.0561,0.0422,0.0232,0.0113,0.0214,0.1212,0.0583,0.021,0.0118,0.0,0.0152
307,0.0,0.0107,0.014,0.0241,0.0427,0.0,0.0089,0.0178,0.1681,0.0404,0.0238
783,0.0195,0.039,0.0526,0.0316,0.0281,0.0189,0.0404,0.0748,0.0385,0.0166,0.0152
70,0.0138,0.0241,0.0339,0.0367,0.0434,0.0136,0.0252,0.0943,0.0701,0.028,0.0238
621,0.0249,0.0665,0.077,0.0274,0.0254,0.021,0.0354,0.0369,0.0227,0.012,0.0167
377,0.0307,0.0259,0.0143,0.009,0.0254,0.2111,0.0306,0.0135,0.0089,0.0,0.0238
275,0.0149,0.0368,0.0624,0.0399,0.0373,0.0124,0.029,0.0505,0.0356,0.0191,0.0238
733,0.0,0.0133,0.0222,0.0594,0.0888,0.0,0.0116,0.0195,0.0513,0.0746,0.0161
333,0.0166,0.0226,0.0156,0.0107,0.0273,0.0231,0.1934,0.0272,0.0115,0.0,0.0238
627,0.0608,0.0595,0.0286,0.0131,0.0214,0.0747,0.065,0.0272,0.0134,0.0,0.0167
6,0.109,0.1293,0.0684,0.0312,0.0367,0.1228,0.1433,0.0692,0.0306,0.0159,0.0255
799,0.0128,0.0219,0.0359,0.0458,0.0408,0.0121,0.0214,0.0502,0.0858,0.035,0.0152
467,0.0404,0.0404,0.0221,0.0106,0.0241,0.0848,0.0793,0.0253,0.0113,0.0,0.0218
107,0.0234,0.0389,0.0417,0.0287,0.0353,0.0255,0.056,0.0935,0.0344,0.0175,0.0238
217,0.0391,0.075,0.0479,0.0205,0.0285,0.0343,0.0483,0.0369,0.0193,0.0102,0.0238
95,0.0872,0.0718,0.0307,0.0155,0.0287,0.0565,0.0446,0.0251,0.015,0.0097,0.0238
325,0.0207,0.0516,0.1474,0.0327,0.032,0.0173,0.0248,0.0284,0.0218,0.0133,0.0238
169,0.068,0.0464,0.0229,0.0123,0.0289,0.1151,0.0491,0.0198,0.0115,0.0054,0.0238
211,0.1111,0.0546,0.0216,0.0115,0.0274,0.0559,0.0362,0.0178,0.0111,0.0,0.0238
393,0.0542,0.0604,0.0292,0.0142,0.0279,0.059,0.0628,0.0302,0.0143,0.0,0.0238
741,0.0496,0.0348,0.0161,0.0,0.0163,0.1527,0.0456,0.0147,0.0,0.0,0.0152
349,0.0669,0.0447,0.02,0.0105,0.0258,0.1169,0.0455,0.0194,0.0108,0.0,0.0238
543,0.0116,0.022,0.0366,0.0555,0.0468,0.0104,0.0197,0.0434,0.0839,0.039,0.0167
213,0.0,0.0166,0.0248,0.0468,0.0575,0.0,0.0143,0.0315,0.1164,0.0625,0.0238
289,0.0,0.0141,0.022,0.042,0.0614,0.0,0.0122,0.0274,0.1489,0.0774,0.0238
29,0.0037,0.0166,0.028,0.1101,0.0728,0.0,0.0135,0.0206,0.039,0.039,0.0255
68,0.0134,0.0246,0.0402,0.0537,0.0532,0.0129,0.0223,0.0586,0.0865,0.0389,0.0238
117,0.0866,0.0669,0.0323,0.0168,0.0302,0.0972,0.064,0.0292,0.0143,0.0101,0.0238
673,0.0,0.0134,0.0179,0.0536,0.1474,0.0,0.0111,0.0144,0.034,0.0679,0.0161
32,0.0274,0.0387,0.0291,0.0165,0.03,0.0342,0.0997,0.0521,0.0183,0.0092,0.0238
