Landkreis,Einwohner,Income
"Karlsruhe, Stadt ",313.092,22.045
Weißenburg-Gunzenhausen ,94.393,22.044
Fulda ,222.584,22.038
Heidenheim ,132.472,22.034
Kassel ,236.633,22.015
"Darmstadt, Stadt ",159.207,21.986
Stade ,203.102,21.968
Osnabrück ,357.343,21.923
"Kaufbeuren, Stadt ",43.893,21.906
Schweinfurt ,115.106,21.896
Mayen-Koblenz ,214.259,21.895
Schleswig-Flensburg ,200.025,21.871
"Regensburg, Stadt ",152.61,21.866
Osterholz ,113.517,21.846
Soest ,301.902,21.845
Rhein-Erft-Kreis ,470.089,21.815
Straubing-Bogen ,100.649,21.801
Cochem-Zell ,61.587,21.797
"Nürnberg, Stadt ",518.365,21.785
Rhein-Lahn-Kreis ,122.308,21.785
Deggendorf ,119.326,21.776
Neckar-Odenwald-Kreis ,143.535,21.775
Potsdam-Mittelmark ,214.664,21.746
Bad Kissingen ,103.218,21.738
"Straubing, Stadt ",47.794,21.736
"Frankfurt am Main, Stadt ",753.056,21.69
Bad Kreuznach ,158.08,21.68
Vogelsbergkreis ,105.878,21.608
"Köln, Stadt ",1.085.664 ,21.608
"Amberg, Stadt ",41.97,21.583
Dithmarschen ,133.21,21.571
Wolfenbüttel ,119.96,21.556
"Kempten (Allgäu), Stadt ",68.907,21.551
Rhön-Grabfeld ,79.69,21.543
Borken ,370.676,21.531
Ammerland ,124.071,21.515
"Mainz, Stadt ",217.118,21.515
Bayreuth ,103.656,21.512
Birkenfeld ,80.72,21.504
Vechta ,141.598,21.502
Rotenburg (Wümme) ,163.455,21.472
Amberg-Sulzbach ,103.109,21.427
"Braunschweig, Stadt ",248.292,21.419
Odenwaldkreis ,96.798,21.418
Schaumburg ,157.781,21.404
Eifelkreis Bitburg-Prüm ,98.561,21.403
Donnersbergkreis ,75.101,21.375
Wesel ,459.809,21.372
Hof ,95.311,21.358
St. Wendel ,87.007,21.353
Limburg-Weilburg ,172.083,21.348
Steinfurt ,447.614,21.33
"Bremen, Stadt ",569.352,21.327
"Freiburg im Breisgau, Stadt ",230.241,21.256
Cham ,127.882,21.238
Hameln-Pyrmont ,148.559,21.292
Vulkaneifel ,60.603,21.292
Northeim ,132.765,21.284
"Landau in der Pfalz, Stadt ",46.677,21.233
"Frankenthal (Pfalz), Stadt ",48.561,21.226
Peine ,133.965,21.203
Altenkirchen (Westerwald) ,128.705,21.176
Lichtenfels ,66.838,21.156
Höxter ,140.667,21.148
Haßberge ,84.599,21.147
Passau ,192.043,21.146
Steinburg ,131.347,21.119
"Krefeld, Stadt ",227.02,21.115
"Schweinfurt, Stadt ",54.032,21.088
Neustadt an der Waldnaab ,94.352,21.083
Tirschenreuth ,72.504,21.082
Waldeck-Frankenberg ,156.953,21.041
"Bamberg, Stadt ",77.592,21.031
"Koblenz, Stadt ",114.024,21.029
Cuxhaven ,198.213,21.012
"Hannover, Region ",1.157.624 ,20.977
Euskirchen ,192.84,20.938
Kaiserslautern ,106.057,20.931
Schwandorf ,147.189,20.927
Paderborn ,306.89,20.913
"Bayreuth, Stadt ",74.657,20.905
Saarlouis ,194.319,20.904
Schwalm-Eder-Kreis ,180.222,20.898
"Leverkusen, Stadt ",163.838,20.884
"Weiden in der Oberpfalz, Stadt ",42.52,20.818
Unna ,394.782,20.806
Wesermarsch ,88.624,20.76
"Wuppertal, Stadt ",354.382,20.759
Groß-Gerau ,274.526,20.738
"Ansbach, Stadt ",41.847,20.737
"Passau, Stadt ",52.469,20.73
Oberhavel ,211.249,20.718
"Suhl, Stadt ",36.955,20.698
"Mönchengladbach, Stadt ",261.454,20.656
Hildesheim ,276.594,20.609
"Mannheim, Stadt ",309.37,20.592
Lüneburg ,183.372,20.583
Holzminden ,70.975,20.573
Kusel ,70.526,20.564
Düren ,263.722,20.526
Marburg-Biedenkopf ,246.648,20.485
Emsland ,325.657,20.469
Regen ,77.656,20.464
Hersfeld-Rotenburg ,120.829,20.459
"Osnabrück, Stadt ",164.748,20.445
Leipzig ,257.763,20.438
Uelzen ,92.572,20.387
Nienburg/Weser ,121.386,20.356
"Worms, Stadt ",83.33,20.3
Celle ,178.936,20.291
Wittmund ,56.882,20.27
Goslar ,137.014,20.269
Göttingen ,328.074,20.264
Friesland ,98.46,20.242
Heidekreis ,139.755,20.183
"Essen, Stadt ",583.109,20.159
Gießen ,268.876,20.153
Neunkirchen ,131.408,20.134
Freyung-Grafenau ,78.355,20.108
Dahme-Spreewald ,169.067,20.068
Meißen ,242.165,20.022
Sonneberg ,58.41,19.995
Schmalkalden-Meiningen ,125.646,19.992
"Cottbus, Stadt ",100.219,19.983
Zwickau ,317.531,19.959
"Hof, Stadt ",45.93,19.957
Kleve ,310.974,19.947
Recklinghausen ,615.261,19.86
"Trier, Stadt ",110.636,19.857
Wartburgkreis ,119.726,19.832
Cloppenburg ,169.348,19.82
Werra-Meißner-Kreis ,101.017,19.785
"Aachen, Städteregion ",555.465,19.781
Börde ,171.734,19.778
"Hagen, Stadt ",188.814,19.774
Sächsische Schweiz-Osterzgebirge ,245.611,19.758
"Zweibrücken, Stadt ",34.209,19.751
"Saarbrücken, Regionalverband ",328.714,19.737
"Berlin, Stadt ",3.644.826 ,19.719
Barnim ,182.76,19.707
Aurich ,189.848,19.701
"Bottrop, Stadt ",117.383,19.674
Saalekreis ,184.582,19.664
"Chemnitz, Stadt ",247.237,19.659
"Pirmasens, Stadt ",40.403,19.649
Jerichower Land ,89.928,19.626
"Bochum, Stadt ",364.628,19.62
