Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1)
Kusel,20564.0,90.0,1.0,70526.0,1276.1251169781356,573.6,47.24485296202819,24.40063301220766,19308.0,34328.0,16890.0,122.95327754532775,0.0
Kyffhäuserkreis,17708.0,50.0,0.0,75009.0,666.5866762655148,1037.89,49.507239131304246,24.440941289198005,17182.0,37361.0,20466.0,72.27066452128838,1.0
Köln,21608.0,2564.0,102.0,1085664.0,2361.6883308279544,405.02,42.23973393241371,23.3513449248811,362084.0,535210.0,188370.0,2680.5194805194806,0.0
Lahn-Dill-Kreis,22884.0,344.0,18.0,253777.0,1355.5207918763324,1066.3,45.4896129278855,24.484172211433368,76182.0,121549.0,56046.0,237.99774922629655,0.0
Landau in der Pfalz,21233.0,56.0,2.0,46677.0,1199.7343445379952,82.94,43.26227049724704,23.925232784960947,16474.0,21250.0,8953.0,562.7803231251507,0.0
Landsberg am Lech,24671.0,365.0,10.0,120071.0,3039.868078053818,804.36,44.28381124501337,24.108370954615534,37404.0,58706.0,23961.0,149.27520015913274,0.0
Landshut,23236.522712914644,952.0,40.0,231102.0,4119.393168384523,1413.3999999999999,43.7636476534171,23.855777733273808,72653.0,114119.0,44330.0,163.50785340314138,0.0
Leer,18614.0,147.0,5.0,169809.0,865.678497606134,1085.72,44.72901318540242,24.33217050887194,52757.0,80854.0,36198.0,156.40220314629923,0.0
Leipzig,18583.263267188573,802.0,16.0,845620.0,948.4165464392989,1949.12,44.7079923606348,24.716991715146012,256499.0,400818.0,188303.0,433.8470694467247,1.0
Leverkusen,20884.0,249.0,5.0,163838.0,1519.7939427971532,78.87,45.10762460479254,24.726897656975083,49945.0,78387.0,35506.0,2077.3171040953466,0.0
Lichtenfels,21156.0,296.0,16.0,66838.0,4428.618450582005,519.94,46.4441634998055,24.235428084076915,18872.0,32881.0,15085.0,128.54944801323228,0.0
Limburg-Weilburg,21348.000000000004,292.0,6.0,172083.0,1696.8555871294666,738.44,45.310940069617565,24.255965990849987,51547.0,83626.0,36910.0,233.03585937923188,0.0
Lindau (Bodensee),24656.0,240.0,8.0,81669.0,2938.691547588436,323.39,45.76192925100099,24.624781520814867,24052.0,39161.0,18456.0,252.540276446396,0.0
Lippe,22239.0,755.0,29.0,348391.0,2167.1053500233934,1246.22,45.239696203403646,25.026848988949226,108923.0,161220.0,78248.0,279.5581839482595,0.0
Ludwigsburg,25230.999999999996,1791.0,72.0,543984.0,3292.376246360187,686.77,43.82454447189623,24.269767356190375,171179.0,265235.0,107570.0,792.0905106513097,0.0
Ludwigshafen am Rhein,19390.0,327.0,2.0,171061.0,1911.5987863978346,77.43,42.74060715183472,24.28504354738154,57489.0,81345.0,32227.0,2209.234146971458,0.0
Ludwigslust-Parchim,19149.0,89.0,2.0,212618.0,418.591088242764,4766.78,47.9021625638469,24.140345389131383,51166.0,111059.0,50393.0,44.6041143077717,1.0
Lörrach,25461.0,667.0,61.0,228639.0,2917.2625842485313,806.71,44.43486894186906,24.376075862560867,70876.0,111361.0,46402.0,283.42155173482416,0.0
Lübeck,19575.0,166.0,1.0,217198.0,764.2795974180241,214.21,45.754698477886535,24.629662885110964,65956.0,100844.0,50398.0,1013.9489286214462,0.0
Lüchow-Dannenberg,19529.0,21.0,3.0,48424.0,433.66925491491827,1227.22,49.000526598380965,24.963037782684697,12499.0,22469.0,13456.0,39.45828783755154,0.0
Lüneburg,20583.000000000004,168.0,0.0,183372.0,916.1704076958314,1327.67,44.12555624631896,24.16068829203469,58030.0,88565.0,36777.0,138.11564620726534,0.0
Magdeburg,18206.0,216.0,2.0,238697.0,904.9129230782121,201.01,45.68946823797534,25.023869420794313,73133.0,107677.0,57887.0,1187.4881846674296,1.0
Main-Kinzig-Kreis,22932.0,767.0,47.0,418950.0,1830.767394677169,1397.32,45.124288101205394,24.307351214908582,125298.0,203459.0,90193.0,299.8239487018006,0.0
Main-Spessart,22524.0,157.0,6.0,126365.0,1242.4326356190402,1321.19,46.56803703557156,24.261902044256587,35503.0,61958.0,28904.0,95.64483533783937,0.0
Main-Tauber-Kreis,22232.0,398.0,10.0,132321.0,3007.8370024410337,1304.13,45.78676854014102,24.485943394502986,39206.0,63299.0,29816.0,101.46304432840283,0.0
Main-Taunus-Kreis,26641.0,356.0,14.0,237735.0,1497.4656655519802,222.53,44.69442656739647,24.549459195904365,71248.0,116185.0,50302.0,1068.3278659057205,0.0
Mainz,21515.0,675.0,26.0,217118.0,3108.9085197910813,97.73,41.81665960445472,23.34033218580345,78359.0,100729.0,38030.0,2221.6105597053106,0.0
Mainz-Bingen,25408.0,434.0,25.0,210889.0,2057.9546586118763,605.36,45.02684113443565,24.131552779985554,62226.0,105037.0,43626.0,348.3695652173913,0.0
Mannheim,20592.0,495.0,13.0,309370.0,1600.025859003782,144.97,42.72491838251931,23.61257085309361,105159.0,147242.0,56969.0,2134.0277298751466,0.0
Mansfeld-Südharz,18203.0,54.0,2.0,136249.0,396.333184096764,1448.85,50.857169593905276,24.486391169998146,29143.0,66996.0,40110.0,94.03941056700143,1.0
Marburg-Biedenkopf,20485.0,202.0,4.0,246648.0,818.980895851578,1262.37,43.49936954688463,24.057878232031673,84843.0,113368.0,48437.0,195.3848713134818,0.0
Mayen-Koblenz,21895.0,348.0,14.0,214259.0,1624.2024839096607,817.73,45.63712842867744,24.336076223702324,62715.0,104596.0,46948.0,262.01680261210913,0.0
Mecklenburgische Seenplatte,18062.0,125.0,3.0,259130.0,482.3833597036237,5495.63,48.805333230424885,24.48281263608558,61472.0,131000.0,66658.0,47.15200986966008,1.0
Meißen,20022.000000000004,240.0,20.0,242165.0,991.0598145892264,1454.59,49.021739309974606,25.14279581302382,57475.0,118281.0,66409.0,166.48333894774473,1.0
Memmingen,26941.0,51.0,0.0,43837.0,1163.4007801628761,70.11,44.82770262563588,24.54661477044129,13633.0,20735.0,9469.0,625.2603052346313,0.0
Merzig-Wadern,19067.0,216.0,2.0,103366.0,2089.661977826365,556.66,46.78167869512219,24.093251526166352,28389.0,51539.0,23438.0,185.6896489778321,0.0
Mettmann,25021.0,978.0,79.0,485684.0,2013.6549690745421,407.22,46.53964203062073,24.895905477255898,138159.0,231876.0,115649.0,1192.6820883060752,0.0
Miesbach,28017.0,586.0,11.0,99726.0,5876.1005154122295,866.22,45.75802198022582,24.580242585993012,29225.0,47949.0,22552.0,115.12779663364965,0.0
Miltenberg,22544.0,304.0,5.0,128756.0,2361.0550187952404,715.58,45.38055313927118,24.191095924680088,38121.0,63237.0,27398.0,179.932362559043,0.0
Minden-Lübbecke,22261.999999999996,489.0,12.0,310710.0,1573.8148112387757,1152.41,45.27682082971259,24.800447167925384,95873.0,146536.0,68301.0,269.6175840195763,0.0
Mittelsachsen,19433.0,284.0,9.0,306185.0,927.543805215801,2116.85,49.18371899341901,25.001649173305594,73687.0,146661.0,85837.0,144.64180267850816,1.0
Märkisch-Oderland,19407.0,240.0,4.0,194328.0,1235.0253180190193,2158.65,48.03069809806101,24.3186460168521,45848.0,102097.0,46383.0,90.02293099854074,1.0
Märkischer Kreis,24136.999999999996,609.0,31.0,412120.0,1477.7249344851014,1061.06,45.6145042706008,24.556054948572182,123415.0,197908.0,90797.0,388.4040487814073,0.0
Mönchengladbach,20656.0,660.0,41.0,261454.0,2524.3446265882335,170.47,44.59321525010136,24.289131932446487,81881.0,125050.0,54523.0,1533.7244089869184,0.0
Mülheim an der Ruhr,23090.999999999996,234.0,12.0,170880.0,1369.3820224719102,91.28,46.37037687265918,24.868952981110674,49647.0,80470.0,40763.0,1872.0420683610866,0.0
München,29724.47937544874,8034.0,299.0,1820379.0,4413.366667051202,974.97,42.45247830259523,23.587909103156772,595201.0,894566.0,330612.0,1867.1128342410534,0.0
Münster,22261.0,733.0,13.0,314319.0,2332.0257445461457,303.28,41.64522030166805,23.431158244650476,117391.0,143180.0,53748.0,1036.3987074650488,0.0
Neckar-Odenwald-Kreis,21775.0,441.0,21.0,143535.0,3072.4213606437456,1125.94,45.46208590239314,24.302214988253446,43106.0,69484.0,30945.0,127.48014991917863,0.0
Neu-Ulm,23441.999999999996,430.0,26.0,174200.0,2468.427095292767,515.84,44.10514064293915,24.203722641458985,54761.0,84254.0,35185.0,337.7016129032258,0.0
Neuburg-Schrobenhausen,22558.000000000004,334.0,18.0,96680.0,3454.6959040132397,739.72,43.66666839056682,24.03104560057888,30544.0,47744.0,18392.0,130.69810198453467,0.0
Neumünster,18922.0,78.0,2.0,79487.0,981.2925384025061,71.63,45.281108860568395,24.713726866033475,24763.0,36772.0,17952.0,1109.6886779282424,0.0
Neunkirchen,20134.0,271.0,10.0,132206.0,2049.8313238430933,249.8,47.56300394838358,24.377229051705058,35544.0,64433.0,32229.0,529.2473979183346,0.0
Neustadt an der Weinstraße,25391.0,104.0,2.0,53148.0,1956.799879581546,117.09,46.91486979754647,24.942909932418118,15191.0,25013.0,12944.0,453.9072508326928,0.0
Neuwied,22671.999999999996,215.0,4.0,181941.0,1181.7017604608088,627.06,45.666237956260545,24.599938863770625,54517.0,86900.0,40524.0,290.1492680126304,0.0
Nordfriesland,24384.0,89.0,1.0,165507.0,537.7416060952105,2083.01,46.67672968514927,24.621527328184357,47942.0,77552.0,40013.0,79.45569152332442,0.0
Nordhausen,17910.999999999996,65.0,2.0,83822.0,775.4527451027176,713.91,48.316844026627855,24.839479857372616,21293.0,40442.0,22087.0,117.41255900603718,1.0
Nordsachsen,18980.0,142.0,0.0,197673.0,718.3580964522216,2028.56,48.50768187865819,24.624455236373617,46819.0,100216.0,50638.0,97.44498560555272,1.0
Nordwestmecklenburg,18475.0,79.0,1.0,156729.0,504.05476969801373,2127.12,47.207558907413436,24.284787281203005,39681.0,80206.0,36842.0,73.68131558163151,1.0
Northeim,21284.000000000004,139.0,5.0,132765.0,1046.9626784167515,1268.77,47.83454600233495,24.72232427486879,36152.0,62938.0,33675.0,104.64071502321146,0.0
Nürnberg,21785.0,1101.0,49.0,518365.0,2123.985994424778,186.45,43.654447155961535,24.08167928189104,166920.0,247392.0,104053.0,2780.182354518638,0.0
Nürnberger Land,24993.000000000004,631.0,44.0,170365.0,3703.8124027822614,799.52,45.84763008833974,24.38279136023524,48843.0,83607.0,37915.0,213.08410046027618,0.0
Oberallgäu,23482.0,186.0,7.0,155362.0,1197.2039494857172,1527.99,45.82313242620461,24.538911881035634,45583.0,74573.0,35206.0,101.67736699847512,0.0
Oberbergischer Kreis,22691.0,490.0,18.0,272471.0,1798.3565223454973,918.85,45.032335551306375,24.628429129935242,84008.0,130496.0,57967.0,296.5347989334494,0.0
Oberhausen,18180.999999999996,273.0,10.0,210829.0,1294.8882743835052,77.09,45.430379596734795,24.310833595759693,62648.0,102159.0,46022.0,2734.8423920093396,0.0
Oberhavel,20718.000000000004,320.0,9.0,211249.0,1514.8000700595032,1808.18,47.02618947308626,24.35764902053081,53872.0,109103.0,48274.0,116.82962979349401,1.0
Oberspreewald-Lausitz,18699.0,52.0,2.0,110476.0,470.6904667077012,1223.09,50.340236793511714,24.73072974301797,24239.0,54609.0,31628.0,90.32532356572288,1.0
Odenwaldkreis,21418.000000000004,409.0,61.0,96798.0,4225.29391103122,623.97,46.56642699229323,24.46530453095288,27604.0,46371.0,22823.0,155.132458291264,0.0
Oder-Spree,19188.0,140.0,2.0,178658.0,783.6201009750473,2256.75,49.0816056375869,24.673725093418646,41494.0,89986.0,47178.0,79.16605738340535,1.0
Offenbach,23449.0,666.0,40.0,354092.0,1880.867119279735,356.24,44.61143149238051,24.433861697409505,107799.0,171276.0,75017.0,993.9703570626543,0.0
Offenbach am Main,17687.0,175.0,9.0,128744.0,1359.2866463679861,44.88,41.212771080594045,23.5180427578405,44927.0,62631.0,21186.0,2868.627450980392,0.0
Oldenburg,22019.295451297927,227.0,15.0,130144.0,1744.221785099582,1064.84,45.30006761740841,24.32336003452077,38733.0,63731.0,27680.0,122.21930055219565,0.0
Olpe,27131.999999999996,648.0,56.0,134775.0,4808.013355592654,712.14,44.61271007234279,24.181837907155746,41589.0,66049.0,27137.0,189.25351756677057,0.0
Ortenaukreis,22800.0,1208.0,125.0,429479.0,2812.710283855555,1850.34,44.67777120650835,24.416524435969944,133230.0,206836.0,89413.0,232.10815309618775,0.0
Osnabrück,21456.610914572364,1719.0,76.0,522091.0,3292.52946325449,2241.61,43.94140580856594,24.31969508518597,171816.0,245758.0,104517.0,232.9089359879729,0.0
Ostalbkreis,23888.0,1403.0,37.0,314002.0,4468.124406850912,1511.37,44.38776186138942,24.3573322271339,99685.0,149701.0,64616.0,207.75984702620804,0.0
Ostallgäu,23281.0,503.0,39.0,140316.0,3584.7658143048548,1394.45,44.59886613073349,24.458695612286572,43621.0,67079.0,29616.0,100.6246190254222,0.0
Osterholz,21846.0,117.0,0.0,113517.0,1030.6826290335368,652.67,46.48394954059744,24.579812445563498,31847.0,55112.0,26558.0,173.92709945301607,0.0
Ostholstein,22569.000000000004,68.0,0.0,200581.0,339.0151609574187,1392.59,49.04837447215838,24.689803656714236,50786.0,94622.0,55173.0,144.03449687273354,0.0
Ostprignitz-Ruppin,17924.0,82.0,0.0,99078.0,827.6307555663216,2526.57,48.8330154020065,24.36804084815669,23142.0,50802.0,25134.0,39.21442904807704,1.0
Paderborn,20913.0,682.0,34.0,306890.0,2222.294633256216,1246.8,42.64966274560918,23.919668289979608,105172.0,146465.0,55253.0,246.14212383702278,0.0
Passau,21056.73197225494,718.0,48.0,244512.0,2936.4611961785104,1599.6699999999998,45.39761647690093,24.10423672423288,74392.0,116638.0,53482.0,152.8515256271606,0.0
Peine,21203.000000000004,160.0,11.0,133965.0,1194.3418056955175,536.5,45.193162393162396,24.542823949537627,39915.0,65410.0,28640.0,249.7017707362535,0.0
Pforzheim,22881.999999999996,406.0,8.0,125542.0,3233.9774736741488,98.07,43.221830144493474,24.60442311020948,42657.0,57682.0,25203.0,1280.1264402977465,0.0
Pinneberg,24124.000000000004,602.0,46.0,314391.0,1914.8130830717164,664.25,45.51430861570465,24.580636421171608,92291.0,152597.0,69503.0,473.3022205494919,0.0
Pirmasens,19649.0,31.0,0.0,40403.0,767.2697571962477,61.36,47.40654159344603,25.111671043535498,11631.0,18484.0,10288.0,658.4582790091265,0.0
Plön,22362.0,120.0,8.0,128647.0,932.7850630018578,1083.2,48.016486975988556,24.895709936908396,34329.0,60707.0,33611.0,118.76569423929098,0.0
Potsdam,19550.0,626.0,51.0,178089.0,3515.096384392074,188.26,43.21782648001842,24.380430324202408,56200.0,86825.0,35064.0,945.9736534579837,1.0
Potsdam-Mittelmark,21746.0,565.0,35.0,214664.0,2632.0202735437706,2592.02,46.87999152163381,24.31833807605904,54714.0,111857.0,48093.0,82.81726221248293,1.0
Prignitz,18335.0,28.0,0.0,76508.0,365.9748000209128,2138.55,50.366027082135204,24.577132416765618,17000.0,38015.0,21493.0,35.775642374506084,1.0
Rastatt,22803.0,522.0,17.0,231018.0,2259.5641898033923,738.43,45.481984087819995,24.300817819093403,68145.0,113031.0,49842.0,312.85023631217587,0.0
Ravensburg,22965.999999999996,559.0,8.0,284285.0,1966.3365988356754,1632.1,43.70993193450235,24.264019561029933,92908.0,135145.0,56232.0,174.1835671833834,0.0
Recklinghausen,19860.0,1323.0,40.0,615261.0,2150.306942907156,761.31,46.15592000793159,24.44487754636017,177586.0,297467.0,140208.0,808.1609331284234,0.0
Regen,20464.000000000004,196.0,11.0,77656.0,2523.951787369939,974.8,45.94484650252395,24.073420937235614,22538.0,37846.0,17272.0,79.66352072219942,0.0
Regensburg,22918.057002485235,1159.0,25.0,346182.0,3347.9499222952086,1472.52,43.109583976058836,23.52290313724024,113294.0,169406.0,63482.0,235.0949392877516,0.0
Rems-Murr-Kreis,24638.0,1616.0,92.0,426158.0,3792.0207997972584,858.08,44.76455211447397,24.462512118607982,131314.0,205207.0,89637.0,496.6413388029088,0.0
Remscheid,22413.0,241.0,18.0,110994.0,2171.2885381191777,74.52,45.480949420689406,24.668613061210273,33474.0,52913.0,24607.0,1489.4524959742353,0.0
Rendsburg-Eckernförde,23135.0,255.0,14.0,272775.0,934.8364036293648,2189.25,46.43772156539272,24.64674822026643,77790.0,130852.0,64133.0,124.59746488523467,0.0
Reutlingen,23954.0,1547.0,82.0,286748.0,5394.980958890733,1027.85,44.35951078996192,24.436583454612627,90469.0,137530.0,58749.0,278.97845016296156,0.0
Rhein-Erft-Kreis,21815.0,1108.0,76.0,470089.0,2357.000482887283,704.71,44.9611945823025,24.391364057385402,141640.0,228177.0,100272.0,667.0673042811936,0.0
Rhein-Hunsrück-Kreis,23219.0,168.0,6.0,102937.0,1632.0662152578761,991.06,46.29395164032369,24.384502531899543,29334.0,50204.0,23399.0,103.86555808931851,0.0
Rhein-Kreis Neuss,24546.0,729.0,20.0,451007.0,1616.3828942788027,576.42,45.47103814353214,24.55448966761494,131996.0,220120.0,98891.0,782.4277436591375,0.0
Rhein-Lahn-Kreis,21785.0,159.0,6.0,122308.0,1299.996729567976,782.24,46.561394185171864,24.42403507102913,34423.0,59249.0,28636.0,156.35610554305583,0.0
Rhein-Neckar-Kreis,24048.0,960.0,38.0,547625.0,1753.024423647569,1061.55,45.09016754165716,24.384430774559302,164300.0,265809.0,117516.0,515.8730158730159,0.0
Rhein-Pfalz-Kreis,25441.0,252.0,5.0,154201.0,1634.2306470126653,304.99,46.10742148235096,24.59393774293808,43742.0,75488.0,34971.0,505.5936260205252,0.0
Rhein-Sieg-Kreis,22975.0,1458.0,50.0,599780.0,2430.891326819834,1153.21,44.99191620260762,24.531570632092212,183177.0,288611.0,127992.0,520.096079638574,0.0
Rheingau-Taunus-Kreis,24671.0,248.0,5.0,187157.0,1325.0906992524992,811.41,46.16854833108032,24.427946746802153,53601.0,90789.0,42767.0,230.65651150466473,0.0
Rheinisch-Bergischer Kreis,25295.0,471.0,21.0,283455.0,1661.6394136635445,437.32,46.431685805507044,24.775372758447563,80874.0,136976.0,65605.0,648.1638159699991,0.0
Rhön-Grabfeld,21543.000000000004,195.0,6.0,79690.0,2446.9820554649264,1021.72,45.870140544610365,24.402868143738374,23442.0,38615.0,17633.0,77.99592843440473,0.0
Rosenheim,24085.642579407784,2799.0,217.0,324307.0,8630.711023813854,1476.67,44.61036456197368,24.29716596055422,100349.0,155673.0,68285.0,219.62049747066033,0.0
Rostock,18514.257755324896,179.0,5.0,423999.0,422.1708070066203,3612.65,46.73906070533185,24.6224273851196,115230.0,207780.0,100989.0,117.36509210690214,1.0
Rotenburg (Wümme),21471.999999999996,110.0,2.0,163455.0,672.968095194396,2074.78,44.986243920345046,24.276133583604672,50030.0,78883.0,34542.0,78.78184675001687,0.0
Roth,23592.0,287.0,7.0,126958.0,2260.5901164164525,895.15,45.032365034105766,24.19335968236712,37962.0,62608.0,26388.0,141.82874378595767,0.0
Rottal-Inn,22109.0,733.0,48.0,120659.0,6074.971614218583,1281.22,45.18988223008644,24.255813921067286,36688.0,58236.0,25735.0,94.17508312389754,0.0
Rottweil,24476.0,675.0,26.0,139455.0,4840.27105517909,769.42,44.739224122476784,24.589169815097275,43622.0,66485.0,29348.0,181.2469132593382,0.0
Saale-Holzland-Kreis,18992.0,73.0,3.0,83051.0,878.9779773873885,815.24,48.4575802819954,24.469862721135833,19798.0,41786.0,21467.0,101.87306805357932,1.0
Saale-Orla-Kreis,19008.0,149.0,12.0,80868.0,1842.508779739823,1151.3,49.12935895533462,24.530631146998697,18818.0,40476.0,21574.0,70.24059758533832,1.0
Saalekreis,19664.0,131.0,7.0,184582.0,709.7116728608423,1433.71,48.425558830221796,24.332019290030612,43677.0,93671.0,47234.0,128.74430672869687,1.0
Saalfeld-Rudolstadt,19355.999999999996,71.0,0.0,106356.0,667.5692955733574,1036.03,50.449946406408664,24.690043218579135,23288.0,52188.0,30880.0,102.65725895968264,1.0
Saarlouis,20904.0,554.0,23.0,195201.0,2838.10021465054,459.35,47.147629878945295,24.402733847339714,53617.0,94847.0,46737.0,424.9504734951562,0.0
Saarpfalz-Kreis,22783.0,301.0,18.0,142631.0,2110.3406692794697,418.27,47.76526491435943,24.5525616909895,38692.0,68301.0,35638.0,341.00222344418677,0.0
Salzgitter,19585.0,145.0,8.0,104948.0,1381.6366200404009,224.49,44.852874757022526,25.150907700539342,33633.0,47423.0,23892.0,467.49521136798967,0.0
Salzlandkreis,18207.0,68.0,0.0,190560.0,356.8429890848027,1426.83,49.77866026448363,24.583043300310496,43683.0,93749.0,53128.0,133.5548033052291,1.0
Schaumburg,21404.0,162.0,7.0,157781.0,1026.739594754755,675.68,47.167453622426024,24.75488378400628,44167.0,74987.0,38627.0,233.51438550793276,0.0
Schleswig-Flensburg,21871.0,159.0,4.0,200025.0,794.9006374203225,2071.13,46.352740907386575,24.77258526428768,57928.0,94395.0,47702.0,96.57771361527281,0.0
Schmalkalden-Meiningen,19992.0,147.0,4.0,122347.0,1201.5006497911677,1210.73,48.92668802667822,24.45601799668584,28748.0,61258.0,32341.0,101.05225772880824,1.0
Schwabach,25418.000000000004,79.0,2.0,40792.0,1936.6542459305747,40.8,45.175254951951366,24.507660920047552,12223.0,19671.0,8898.0,999.8039215686275,0.0
Schwalm-Eder-Kreis,20898.000000000004,529.0,37.0,180222.0,2935.2687241291296,1539.02,46.55776209341812,24.386367824495753,50795.0,87519.0,41908.0,117.10179204948604,0.0
Schwandorf,20927.0,506.0,19.0,147189.0,3437.7568975942495,1465.06,44.97912887511974,23.949413357147936,44123.0,72846.0,30220.0,100.46619251088693,0.0
Schwarzwald-Baar-Kreis,23851.0,570.0,30.0,212381.0,2683.85590048074,1025.33,45.19624401429506,24.70480935115594,65724.0,99542.0,47115.0,207.13428847297945,0.0
Schweinfurt,21637.88026345351,695.0,43.0,169138.0,4109.070699665363,877.09,45.513749127931035,24.590896051630363,51023.0,80462.0,37653.0,192.83995941123487,0.0
Schwerin,18378.0,91.0,0.0,95818.0,949.7171721388465,130.52,46.964437788307,25.23473014848017,26696.0,44637.0,24485.0,734.1250383083052,1.0
Schwäbisch Hall,23061.0,869.0,58.0,195861.0,4436.8199896865635,1484.07,43.6566110660111,24.085642002847283,62709.0,95522.0,37630.0,131.97558066668014,0.0
Segeberg,22953.000000000004,332.0,7.0,276032.0,1202.7591003941573,1344.42,45.34873492928356,24.378432513657803,80612.0,135369.0,60051.0,205.3167908838012,0.0
Siegen-Wittgenstein,23134.0,315.0,8.0,278210.0,1132.238237302757,1132.89,44.89564178138816,24.456460614398328,87900.0,130537.0,59773.0,245.57547511232332,0.0
Sigmaringen,22061.999999999996,776.0,34.0,130873.0,5929.4124838583975,1204.23,44.40648185645626,24.353329267760216,41720.0,62601.0,26552.0,108.67774428472966,0.0
Soest,21845.0,376.0,8.0,301902.0,1245.4372610979722,1328.63,45.117312902862516,24.414175919729686,91826.0,146022.0,64054.0,227.22804693556517,0.0
Solingen,23357.0,288.0,8.0,159360.0,1807.2289156626507,89.54,45.12271272590361,24.54439083055487,48543.0,76872.0,33945.0,1779.7632343086887,0.0
Sonneberg,19995.0,288.0,21.0,56196.0,5124.919923126201,433.61,49.881281585878,24.38085869920795,12606.0,27996.0,15594.0,129.600332095662,1.0
Speyer,23860.0,95.0,1.0,50378.0,1885.7437770455358,42.71,45.941551867878836,24.45649595343611,14635.0,24329.0,11414.0,1179.5364083352845,0.0
Spree-Neiße,19252.0,65.0,0.0,114429.0,568.0378225799404,1656.97,50.598851689694044,24.32035917481948,24054.0,58559.0,31816.0,69.05918634616197,1.0
Stade,21968.000000000004,215.0,8.0,203102.0,1058.5814024480312,1267.38,44.702024106114166,24.490888164892816,62802.0,96821.0,43479.0,160.25343622275875,0.0
Starnberg,34986.99999999999,540.0,13.0,136092.0,3967.9040648972755,487.72,45.63013255738765,24.963958729764183,40902.0,64014.0,31176.0,279.0371524645288,0.0
Steinburg,21119.0,182.0,3.0,131347.0,1385.6426107943082,1055.72,46.306162302907566,24.48237754897235,37722.0,63742.0,29883.0,124.41461751221915,0.0
Steinfurt,21330.0,1339.0,82.0,447614.0,2991.416711720366,1795.76,44.048177670939694,24.350473903707815,143386.0,215669.0,88559.0,249.26159397692342,0.0
Stendal,17921.0,107.0,6.0,111982.0,955.5107070779233,2423.24,48.78023700237538,24.40284388994895,26858.0,56600.0,28524.0,46.21168353114013,1.0
Stormarn,25006.0,419.0,33.0,243196.0,1722.890179114788,766.29,46.1561436043356,24.789276920929094,68703.0,118253.0,56240.0,317.3680982395699,0.0
Straubing,21736.0,428.0,48.0,47794.0,8955.098966397454,67.59,45.17576474034398,23.83241136368038,14315.0,23307.0,10172.0,707.1164373428021,0.0
Straubing-Bogen,21801.0,548.0,29.0,100649.0,5444.664129797614,1201.62,44.34417629584,23.854165698342992,30721.0,50246.0,19682.0,83.76108919625173,0.0
Stuttgart,25011.999999999996,1513.0,63.0,634830.0,2383.315218247405,207.33,42.39228848668147,23.418931788428434,211419.0,310112.0,113299.0,3061.9302561134423,0.0
Suhl,20698.0,20.0,2.0,34835.0,574.1352088416822,103.03,51.641725276302566,24.618349555658256,7561.0,16042.0,11232.0,338.10540619237116,1.0
Sächsische Schweiz-Osterzgebirge,19758.0,389.0,2.0,245611.0,1583.805285593886,1654.18,48.56642617798063,25.28186892610525,60120.0,118097.0,67394.0,148.47900470323665,1.0
Sömmerda,18790.0,37.0,1.0,69655.0,531.189433637212,806.84,47.78191802454957,24.194484818340168,16863.0,35691.0,17101.0,86.33062317188042,1.0
Südliche Weinstraße,23424.0,155.0,3.0,110356.0,1404.5452897894088,639.95,46.724849577730254,24.30313779080921,30401.0,54369.0,25586.0,172.4447222439253,0.0
Südwestpfalz,22459.0,106.0,3.0,95113.0,1114.4638482646956,953.5,48.340458191834976,24.330562535722883,24536.0,46682.0,23895.0,99.75144205558469,0.0
Teltow-Fläming,19408.0,153.0,12.0,168296.0,909.1125160431621,2104.23,46.62545752721395,24.361661050221684,43562.0,86919.0,37815.0,79.97985011144219,1.0
Tirschenreuth,21081.999999999996,1136.0,138.0,72504.0,15668.101070285777,1084.25,46.49861386957961,24.27183386022123,20675.0,35379.0,16450.0,66.87018676504496,0.0
Traunstein,23908.0,1322.0,87.0,177089.0,7465.172879173749,1533.76,45.68461620992834,24.547856390286825,52998.0,83958.0,40133.0,115.46069789276028,0.0
Trier,19857.0,103.0,1.0,110636.0,930.9808742181568,117.07,42.21860425178061,23.40500278959782,40111.0,50893.0,19632.0,945.0414282053473,0.0
Trier-Saarburg,22541.0,199.0,9.0,148945.0,1336.0636476551747,1102.23,45.18526973043741,24.14881527130494,43425.0,74751.0,30769.0,135.13059887682243,0.0
Tuttlingen,25338.0,505.0,23.0,140152.0,3603.230778012444,734.38,43.409041611964156,24.473645321701046,46156.0,66583.0,27413.0,190.84397723249543,0.0
Tübingen,22680.0,1292.0,60.0,227331.0,5683.342790908411,519.12,41.861316758383154,23.671125702363824,82989.0,105169.0,39173.0,437.9160887656033,0.0
Uckermark,17628.0,44.0,2.0,119552.0,368.0406852248394,3076.89,49.962865531316915,24.576210969955778,26976.0,59627.0,32949.0,38.85481768929016,1.0
Uelzen,20387.0,44.0,0.0,92572.0,475.30570798945683,1462.59,47.7624929784384,24.76615327915199,25371.0,43799.0,23402.0,63.293199050998574,0.0
Ulm,29641.0,288.0,5.0,126329.0,2279.761574935288,118.68,42.16329188072414,23.809562445004037,44778.0,58356.0,23195.0,1064.4506235254464,0.0
Unna,20805.999999999996,723.0,38.0,394782.0,1831.3904889280666,543.21,46.10274151303758,24.486143719623293,114611.0,190367.0,89804.0,726.7576075550892,0.0
Unstrut-Hainich-Kreis,18213.0,91.0,3.0,102912.0,884.2506218905472,979.69,47.76123775652985,24.72059909280706,26113.0,50998.0,25801.0,105.04547356816951,1.0
