Landkreis,Net_needs,Gross_needs,Ded_income
"Waldeck-Frankenberg, Landkreis",494,725,361
Werra-Meißner-Kreis,458,736,387
"Koblenz, kreisfreie Stadt",542,771,325
"Ahrweiler, Landkreis",481,746,358
"Altenkirchen (Westerwald), Landkreis",435,705,362
"Bad Kreuznach, Landkreis",479,747,355
"Birkenfeld, Landkreis",484,757,365
"Cochem-Zell, Landkreis",514,756,338
"Mayen-Koblenz, Landkreis",486,743,368
"Neuwied, Landkreis",477,753,371
Rhein-Hunsrück-Kreis,455,736,361
Rhein-Lahn-Kreis,489,726,338
Westerwaldkreis,447,709,355
"Trier, kreisfreie Stadt",551,815,405
"Bernkastel-Wittlich, Landkreis",443,732,368
Eifelkreis Bitburg-Prüm,481,758,351
"Vulkaneifel, Landkreis",431,714,349
"Trier-Saarburg, Landkreis",472,743,369
"Frankenthal (Pfalz), kreisfreie Stadt",451,753,397
"Kaiserslautern, kreisfreie Stadt",473,793,408
"Landau in der Pfalz, kreisfreie Stadt",543,802,367
"Ludwigshafen am Rhein, kreisfreie Stadt",494,776,376
"Mainz, kreisfreie Stadt",591,838,359
"Neustadt an der Weinstraße, kreisfreie Stadt",487,751,345
"Pirmasens, kreisfreie Stadt",452,730,380
"Speyer, kreisfreie Stadt",510,779,367
"Worms, kreisfreie Stadt",496,779,366
"Zweibrücken, kreisfreie Stadt",447,742,373
"Alzey-Worms, Landkreis",475,777,395
"Bad Dürkheim, Landkreis",508,751,332
Donnersbergkreis,457,751,381
"Germersheim, Landkreis",442,741,387
"Kaiserslautern, Landkreis",467,712,328
"Kusel, Landkreis",481,719,307
"Südliche Weinstraße, Landkreis",501,760,356
Rhein-Pfalz-Kreis,489,722,335
"Mainz-Bingen, Landkreis",515,815,397
"Südwestpfalz, Landkreis",472,711,331
"Stuttgart, kreisfreie Stadt",583,882,403
"Böblingen, Landkreis",500,798,385
"Esslingen, Landkreis",514,820,407
"Göppingen, Landkreis",458,752,382
"Ludwigsburg, Landkreis",495,810,402
Rems-Murr-Kreis,521,822,403
"Heilbronn, kreisfreie Stadt",468,763,377
"Heilbronn, Landkreis",453,733,372
Hohenlohekreis,448,725,374
"Schwäbisch Hall, Landkreis",528,733,310
Main-Tauber-Kreis,458,742,356
"Heidenheim, Landkreis",469,751,368
Ostalbkreis,523,736,319
"Baden-Baden, kreisfreie Stadt",574,841,388
"Karlsruhe, kreisfreie Stadt",557,836,387
"Karlsruhe, Landkreis",493,752,352
