Landkreis,Ref_no
Merzig-Wadern,10042
Neunkirchen,10043
Saarlouis,10044
Saarpfalz-Kreis,10045
Berlin,11000
Brandenburg an der Havel,12051
Cottbus,12052
Frankfurt (Oder),12053
Potsdam,12054
Barnim,12060
Dahme-Spreewald,12061
Elbe-Elster,12062
Havelland,12063
Märkisch-Oderland,12064
Oberhavel,12065
Oberspreewald-Lausitz,12066
Oder-Spree,12067
Ostprignitz-Ruppin,12068
Potsdam-Mittelmark,12069
Prignitz,12070
Spree-Neiße,12071
Teltow-Fläming,12072
Uckermark,12073
Rostock,13003
Schwerin,13004
Mecklenburgische Seenplatte,13071
Vorpommern-Rügen,13073
Nordwestmecklenburg,13074
Vorpommern-Greifswald,13075
Ludwigslust-Parchim,13076
Chemnitz,14511
Erzgebirgskreis,14521
Mittelsachsen,14522
Vogtlandkreis,14523
Zwickau,14524
Dresden,14612
Bautzen,14625
Görlitz,14626
Meißen,14627
Sächsische Schweiz-Osterzgebirge,14628
Leipzig,14713
Nordsachsen,14730
Dessau-Roßlau,15001
Halle (Saale),15002
Magdeburg,15003
Altmarkkreis Salzwedel,15081
Anhalt-Bitterfeld,15082
Börde,15083
Burgenlandkreis,15084
Harz,15085
Jerichower Land,15086
Mansfeld-Südharz,15087
Saalekreis,15088
Salzlandkreis,15089
Stendal,15090
Wittenberg,15091
Erfurt,16051
Gera,16052
Jena,16053
Suhl,16054
Weimar,16055
Eisenach,16056
Eichsfeld,16061
Nordhausen,16062
Wartburgkreis,16063
Unstrut-Hainich-Kreis,16064
Kyffhäuserkreis,16065
Schmalkalden-Meiningen,16066
Gotha,16067
Sömmerda,16068
Hildburghausen,16069
Ilm-Kreis,16070
Weimarer Land,16071
Sonneberg,16072
Saalfeld-Rudolstadt,16073
Saale-Holzland-Kreis,16074
Saale-Orla-Kreis,16075
Greiz,16076
Altenburger Land,16077
