Landkreis,Cases,Deaths,Density,Income,<30,30-65,>65,west(0)/east(1),Day,DailyDeaths
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,97,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,98,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,99,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,100,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,101,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,102,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,103,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,104,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,105,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,106,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,107,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,108,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,109,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,110,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,111,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,112,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,113,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,114,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,115,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,116,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,117,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,118,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,119,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,120,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,121,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,122,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,123,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,124,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,125,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,126,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,127,1.0
Ahrweiler,195.0,1.0,164.8331681532871,22962.0,36492.0,61430.0,31805.0,0.0,128,1.0
