Landkreis,Einwohner,Income,0-34,35-79,80+,Total_Cases,D(0-34),D(35-79),D(80+),Total_Deaths,Area,Density,Einwohner(0-34),Einwohner(35-79),Einwohner(80+),west(0)/east(1)
Chemnitz,247237.0,19659.000000000004,52,144,14,210,0,2,4,6,221.05,1118.4664103144084,86348.0,123620.0,37269.0,1.0
Cloppenburg,169348.0,19820.0,42,68,6,116,0,0,0,0,1420.42,119.22389152504188,72164.0,82934.0,14250.0,0.0
Coburg,128155.0,24696.276797627877,104,263,105,472,0,7,22,29,638.7099999999999,200.64661583504252,44252.0,68100.0,15803.0,0.0
Cochem-Zell,61587.0,21796.999999999996,37,94,4,135,0,1,0,1,692.43,88.94328668601881,20326.0,33305.0,7956.0,0.0
Coesfeld,219929.0,23009.0,257,556,58,871,0,11,13,24,1112.05,197.76898520749967,78891.0,117777.0,23261.0,0.0
Cottbus,100219.0,19983.0,11,26,2,39,0,0,0,0,165.62,605.1141166525782,34461.0,51534.0,14224.0,1.0
Cuxhaven,198213.0,21011.999999999996,152,164,44,360,0,7,13,20,2058.97,96.26803693108691,65361.0,107346.0,25506.0,0.0
Dachau,153884.0,24410.999999999996,290,554,74,918,0,11,19,30,579.16,265.70205124663306,58766.0,80472.0,14646.0,0.0
Dahme-Spreewald,169067.0,20067.999999999996,71,159,22,252,0,3,5,8,2274.49,74.3318282340217,52116.0,94309.0,22642.0,1.0
Darmstadt,159207.0,21986.0,75,104,44,223,0,1,17,18,122.07,1304.227082821332,73212.0,71489.0,14506.0,0.0
Darmstadt-Dieburg,297399.0,23714.000000000004,116,281,30,427,0,9,11,20,658.64,451.53498117332686,107698.0,158915.0,30786.0,0.0
Deggendorf,119326.0,21776.0,93,210,24,327,0,5,10,15,861.17,138.56265313468887,43862.0,63457.0,12007.0,0.0
Delmenhorst,77607.0,18845.0,27,55,3,85,0,2,1,3,62.45,1242.7061649319455,29433.0,39430.0,8744.0,0.0
Dessau-Roßlau,81237.0,19294.0,14,45,7,66,0,1,1,2,244.75,331.9182839632278,22683.0,44219.0,14335.0,1.0
Diepholz,216886.0,22469.0,76,245,57,378,0,9,17,26,1990.99,108.93374652810913,75380.0,115998.0,25508.0,0.0
Dingolfing-Landau,96217.0,23052.0,54,151,15,220,0,5,4,9,877.58,109.63900726999248,36209.0,50797.0,9211.0,0.0
Dithmarschen,13321.0,21570.999999999996,13,46,11,70,0,2,2,4,1428.14,9.327516910106851,45058.0,71084.0,17068.0,0.0
Donau-Ries,133496.0,24066.0,85,202,66,353,0,5,18,23,1274.58,104.73724677933123,50123.0,69572.0,13801.0,0.0
Donnersbergkreis,75101.0,21375.0,39,92,6,137,0,3,3,6,645.41,116.36169256751523,25788.0,41254.0,8059.0,0.0
Dortmund,58701.0,18945.999999999996,288,561,40,889,0,5,4,9,280.71,209.1161697125147,229917.0,293272.0,63821.0,0.0
Dresden,554649.0,18922.0,233,344,48,625,0,5,5,10,328.48,1688.5320263029712,230427.0,254209.0,70013.0,1.0
Duisburg,49859.0,16881.0,479,757,156,1392,1,26,30,57,232.8,214.1709621993127,194136.0,249528.0,54926.0,0.0
Düren,263722.0,20526.0,131,368,106,605,0,13,26,39,941.77,280.02803232211687,96268.0,139190.0,28264.0,0.0
Düsseldorf,619294.0,24881.999999999996,608,919,119,1646,0,24,12,36,217.41,2848.507428361161,244188.0,310372.0,64734.0,0.0
Ebersberg,142142.0,26614.0,214,280,24,518,0,3,2,5,549.4,258.7222424463051,53783.0,73951.0,14408.0,0.0
Eichsfeld,10038.0,19127.0,36,100,23,159,0,3,6,9,943.07,10.643960681603698,33085.0,55262.0,12033.0,1.0
Eichstätt,132341.0,23779.0,77,195,30,302,0,8,10,18,1213.86,109.02492873972288,52778.0,67528.0,12035.0,0.0
Eisenach,4237.0,19062.0,5,18,7,30,0,0,2,2,104.17,40.673898435250074,13791.0,22348.0,6231.0,1.0
Elbe-Elster,102638.0,18189.0,21,53,6,80,0,1,2,3,1899.57,54.032228346415245,27834.0,59004.0,15800.0,1.0
Emden,50195.0,18593.0,2,16,1,19,0,0,0,0,112.34,446.8132455047178,19705.0,25119.0,5371.0,0.0
Emmendingen,165383.0,22741.999999999996,95,351,84,530,0,11,32,43,679.79,243.2854263816767,60039.0,87624.0,17720.0,0.0
Emsland,325657.0,20469.0,157,251,53,461,0,12,13,25,2883.67,112.93143806330127,127074.0,167793.0,30790.0,0.0
Ennepe-Ruhr-Kreis,324296.0,24220.0,156,285,21,462,0,7,7,14,409.64,791.6609706083391,109532.0,173795.0,40969.0,0.0
Enzkreis,198905.0,24829.0,191,400,74,665,0,10,11,21,573.6,346.7660390516039,71870.0,104615.0,22420.0,0.0
Erding,13766.0,24171.999999999996,227,369,31,627,0,4,7,11,870.75,15.809359747344244,53030.0,73032.0,11598.0,0.0
Erfurt,213699.0,18601.0,50,84,5,139,0,1,1,2,269.91,791.7416916750027,81670.0,107066.0,24963.0,1.0
Erlangen,111962.0,23528.000000000004,105,129,25,259,0,5,6,11,76.96,1454.8076923076924,50017.0,51030.0,10915.0,0.0
Erlangen-Höchstadt,136271.0,25135.0,60,156,29,245,0,5,6,11,564.56,241.37558452600257,48784.0,73690.0,13797.0,0.0
Erzgebirgskreis,337696.0,19215.999999999996,105,340,113,558,0,20,23,43,1827.9,184.7453361781279,96283.0,191197.0,50216.0,1.0
Essen,583109.0,20159.000000000004,254,546,117,917,1,10,30,41,210.34,2772.2211657316725,223115.0,292218.0,67776.0,0.0
Esslingen,533859.0,24908.0,464,1084,296,1844,0,29,86,115,641.28,832.4897080838324,202053.0,272545.0,59261.0,0.0
Euskirchen,19284.0,20938.000000000004,157,268,48,473,0,7,15,22,1248.73,15.442889976215834,67676.0,104120.0,21044.0,0.0
Flensburg,89504.0,18480.999999999996,16,27,3,46,0,2,1,3,56.74,1577.4409587592527,38582.0,41459.0,9463.0,0.0
Forchheim,116099.0,23186.999999999996,69,129,9,207,0,2,2,4,642.83,180.6060700340681,41512.0,62720.0,11867.0,0.0
Frankfurt (Oder),57873.0,17381.0,13,18,0,31,0,0,0,0,147.85,391.43050388907676,19050.0,30511.0,8312.0,1.0
Frankfurt am Main,753056.0,21690.0,597,1002,118,1717,0,29,35,64,248.31,3032.725222504128,320567.0,373279.0,59210.0,0.0
Freising,179116.0,23210.0,231,622,112,965,0,15,28,43,799.85,223.93698818528475,73692.0,91084.0,14340.0,0.0
Freudenstadt,117935.0,23982.0,113,360,97,570,0,9,29,38,870.39,135.49673135031423,43702.0,61331.0,12902.0,0.0
Freyung-Grafenau,78355.0,20108.0,47,127,21,195,0,4,8,12,983.87,79.63958653074084,26960.0,43187.0,8208.0,0.0
Friesland,9846.0,20242.0,9,19,6,34,0,0,2,2,609.53,16.153429691729695,32223.0,52849.0,13388.0,0.0
Fulda,222584.0,22038.0,136,219,25,380,0,3,9,12,1380.41,161.2448475452945,84065.0,113038.0,25481.0,0.0
Fürstenfeldbruck,21932.0,25055.0,274,553,80,907,0,12,23,35,434.8,50.44158233670653,80570.0,113270.0,25480.0,0.0
Fürth,245135.0,23672.033969037468,160,473,228,861,0,26,70,96,370.79,661.1154561881388,88939.0,130383.0,25813.0,0.0
Garmisch-Partenkirchen,88467.0,23933.000000000004,73,171,44,288,0,4,14,18,1012.21,87.39984785765799,30264.0,46049.0,12154.0,0.0
Gelsenkirchen,260654.0,16203.0,188,259,24,471,1,9,6,16,104.94,2483.838383838384,100472.0,132127.0,28055.0,0.0
Gera,94152.0,18891.0,56,154,44,254,0,5,14,19,152.19,618.6477429528878,28500.0,50808.0,14844.0,1.0
Germersheim,129075.0,22212.0,33,102,12,147,0,3,2,5,463.32,278.5871535871536,47269.0,68913.0,12893.0,0.0
Gießen,268876.0,20153.0,92,151,4,247,0,3,1,4,854.56,314.6367721400487,112117.0,130110.0,26649.0,0.0
