sample_number,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5
66.0,0.0,0.0,0.0143,0.0411,0.1298,0.0,0.0,0.0128,0.0402,0.1266
,0.0579,0.0409,0.018,0.0,0.0,0.1755,0.0538,0.0189,0.0,0.0
194.0,0.0404,0.1131,0.057,0.0207,0.0296,0.0295,0.0365,0.0292,0.0172,0.0102
40.0,0.0118,0.0273,0.0657,0.0718,0.0484,0.0,0.0169,0.0356,0.0408,0.0252
470.0,0.0404,0.0404,0.0221,0.0106,0.0241,0.0848,0.0793,0.0253,0.0113,0.0
760.0,0.0,0.0133,0.0261,0.1492,0.0468,0.0,0.0101,0.0153,0.026,0.0244
216.0,0.0,0.0166,0.0248,0.0468,0.0575,0.0,0.0143,0.0315,0.1164,0.0625
1346.0,0.0,0.0159,0.0271,0.0665,0.0639,0.0,0.0144,0.0298,0.0784,0.0892
1394.0,0.0287,0.0625,0.0763,0.0363,0.0144,0.0272,0.0474,0.0567,0.0321,0.0141
220.0,0.0391,0.075,0.0479,0.0205,0.0285,0.0343,0.0483,0.0369,0.0193,0.0102
924.0,0.0924,0.0999,0.0355,0.0143,0.0103,0.0517,0.0445,0.0271,0.0133,0.0
1364.0,0.0506,0.0443,0.0223,0.0105,0.0,0.1256,0.09,0.0271,0.0097,0.0
678.0,0.0,0.0134,0.0179,0.0536,0.1474,0.0,0.0111,0.0144,0.034,0.0679
204.0,0.0,0.0105,0.0094,0.0217,0.0682,0.0,0.0,0.0062,0.0264,0.2085
,0.0,0.009,0.0182,0.0555,0.0913,0.0,0.0,0.0191,0.0557,0.1108
346.0,0.0,0.011,0.0134,0.0364,0.0959,0.0,0.0,0.0132,0.043,0.1388
448.0,0.0,0.0105,0.0115,0.0218,0.0621,0.0,0.0,0.0103,0.0318,0.1973
304.0,0.0453,0.0329,0.0162,0.0037,0.0254,0.1581,0.0404,0.0146,0.0,0.0
,0.1319,0.0764,0.024,0.0,0.0,0.0421,0.0353,0.0179,0.0,0.0
170.0,0.009,0.0174,0.0303,0.0957,0.0851,0.0,0.0134,0.0228,0.0522,0.0548
1028.0,0.0,0.0096,0.017,0.0704,0.1449,0.0,0.0,0.0142,0.0395,0.0714
300.0,0.0848,0.0966,0.0287,0.0129,0.0278,0.0385,0.0338,0.0193,0.0114,0.0
538.0,0.0268,0.0553,0.0655,0.0323,0.0277,0.0256,0.0446,0.054,0.0302,0.0146
,0.0,0.0091,0.0161,0.0369,0.0503,0.0,0.0,0.0194,0.0673,0.1578
822.0,0.0133,0.0288,0.0966,0.0698,0.0333,0.0103,0.0199,0.029,0.0301,0.019
438.0,0.0088,0.0133,0.015,0.0439,0.1938,0.0,0.0107,0.0122,0.0268,0.0523
494.0,0.0383,0.0344,0.0192,0.0112,0.0253,0.1235,0.0549,0.0194,0.0115,0.0
48.0,0.0,0.0126,0.0195,0.055,0.0986,0.0,0.0,0.0171,0.0556,0.0871
490.0,0.0157,0.0375,0.058,0.0382,0.0332,0.0158,0.0311,0.0588,0.0389,0.0179
,0.0857,0.0523,0.0222,0.0,0.0,0.1016,0.0537,0.0216,0.0,0.0
1324.0,0.0,0.0,0.0107,0.0367,0.1684,0.0,0.0,0.0104,0.0304,0.0867
,0.0,0.0165,0.0286,0.0623,0.0546,0.0089,0.0154,0.0324,0.0924,0.0763
,0.0419,0.041,0.0228,0.0099,0.0,0.1163,0.1034,0.029,0.0103,0.0
166.0,0.0483,0.0361,0.0189,0.0103,0.0268,0.1541,0.0424,0.0164,0.0111,0.0
348.0,0.0441,0.0952,0.0464,0.0179,0.0283,0.0333,0.0403,0.0309,0.0159,0.0
168.0,0.0106,0.0189,0.026,0.0339,0.0444,0.0098,0.0173,0.0469,0.1403,0.0337
212.0,0.0124,0.0272,0.0753,0.0993,0.0459,0.0104,0.018,0.029,0.0351,0.0222
286.0,0.0364,0.0369,0.0224,0.0128,0.0294,0.0814,0.109,0.0258,0.0128,0.0098
370.0,0.0323,0.0422,0.0278,0.0151,0.0269,0.0444,0.1055,0.0434,0.0164,0.0
1328.0,0.009,0.016,0.0235,0.0378,0.031,0.0092,0.0156,0.0343,0.1271,0.0477
,0.0,0.0,0.0113,0.0305,0.0717,0.0,0.0,0.0118,0.035,0.1934
,0.0,0.0,0.0106,0.0393,0.1598,0.0,0.0,0.0102,0.0312,0.0874
202.0,0.0198,0.0392,0.046,0.032,0.0344,0.0193,0.0391,0.0694,0.0348,0.0168
742.0,0.0366,0.0314,0.0199,0.012,0.0215,0.1522,0.0584,0.0195,0.0115,0.0
410.0,0.0342,0.0966,0.0659,0.0213,0.0311,0.0253,0.0347,0.0316,0.0192,0.0115
272.0,0.0454,0.0336,0.0176,0.0091,0.0268,0.1701,0.0415,0.0148,0.0085,0.0
,0.0573,0.0408,0.0187,0.0,0.0,0.1715,0.0532,0.0196,0.0,0.0
,0.0,0.0,0.0108,0.0323,0.0849,0.0,0.0,0.0113,0.0357,0.1748
676.0,0.0351,0.1024,0.06,0.0197,0.0229,0.0267,0.0354,0.0287,0.0165,0.0088
686.0,0.0112,0.0156,0.017,0.0349,0.1114,0.0111,0.0134,0.0144,0.0333,0.1159
524.0,0.0,0.0134,0.0192,0.0451,0.0886,0.0,0.011,0.0163,0.0571,0.128
1088.0,0.1041,0.0514,0.0234,0.0122,0.011,0.0952,0.0483,0.0219,0.0115,0.0
802.0,0.0513,0.0556,0.0313,0.0133,0.021,0.0661,0.0739,0.0315,0.0144,0.0
610.0,0.0,0.014,0.0179,0.0362,0.0647,0.0,0.0116,0.0168,0.0629,0.1218
360.0,0.0329,0.0278,0.0134,0.0,0.0254,0.1836,0.0453,0.0147,0.0,0.0
144.0,0.0124,0.0261,0.0586,0.0891,0.0527,0.0103,0.0193,0.0355,0.0467,0.0312
,0.2137,0.0439,0.017,0.0,0.0,0.0383,0.0285,0.0143,0.0,0.0
1280.0,0.1615,0.0539,0.0217,0.0091,0.0,0.0583,0.0404,0.0191,0.0003,0.0
110.0,0.0234,0.0389,0.0417,0.0287,0.0353,0.0255,0.056,0.0935,0.0344,0.0175
428.0,0.039,0.1018,0.0622,0.0222,0.029,0.0298,0.0393,0.0335,0.0192,0.0109
,0.1148,0.0585,0.0239,0.0091,0.0,0.0793,0.049,0.0221,0.0087,0.0
1056.0,0.0368,0.0395,0.0253,0.0132,0.0103,0.0673,0.1472,0.0353,0.0134,0.0
602.0,0.072,0.0492,0.0217,0.0098,0.0211,0.0869,0.0485,0.0183,0.01,0.0
746.0,0.0496,0.0348,0.0161,0.0,0.0163,0.1527,0.0456,0.0147,0.0,0.0
,0.0928,0.0719,0.0287,0.0102,0.0,0.0713,0.0554,0.0257,0.0096,0.0
532.0,0.0432,0.0527,0.0331,0.0152,0.0189,0.0621,0.0991,0.0395,0.0162,0.0
1244.0,0.0,0.0124,0.0188,0.0446,0.0694,0.0,0.0114,0.0208,0.0665,0.1544
356.0,0.0,0.0112,0.0129,0.0403,0.2042,0.0,0.0,0.0109,0.0235,0.0436
328.0,0.0207,0.0516,0.1474,0.0327,0.032,0.0173,0.0248,0.0284,0.0218,0.0133
,0.0,0.0,0.0116,0.0429,0.1662,0.0,0.0,0.0117,0.037,0.1167
694.0,0.0112,0.0153,0.016,0.032,0.2046,0.0111,0.0132,0.0128,0.0238,0.0569
,0.16,0.0574,0.0215,0.0,0.0,0.0615,0.0411,0.0186,0.0,0.0
,0.0588,0.1256,0.0477,0.017,0.0,0.0405,0.0459,0.0312,0.0149,0.0
,0.0866,0.101,0.0321,0.0093,0.0,0.046,0.0427,0.023,0.0,0.0
252.0,0.0611,0.0437,0.021,0.0112,0.0268,0.1194,0.0505,0.0197,0.011,0.0
182.0,0.0093,0.0135,0.0154,0.0364,0.1583,0.0,0.0105,0.0117,0.0315,0.1067
542.0,0.0398,0.0529,0.0341,0.016,0.022,0.0511,0.0833,0.0389,0.0166,0.0
,0.0306,0.1873,0.0561,0.0192,0.0,0.0223,0.0288,0.0248,0.0156,0.0
632.0,0.0608,0.0595,0.0286,0.0131,0.0214,0.0747,0.065,0.0272,0.0134,0.0
,0.0,0.0,0.0105,0.032,0.084,0.0,0.0,0.0109,0.0354,0.1753
728.0,0.0101,0.015,0.0197,0.0529,0.1094,0.0092,0.0123,0.0164,0.0407,0.0747
606.0,0.0124,0.0208,0.0286,0.0433,0.0445,0.0126,0.0187,0.0367,0.1118,0.0452
796.0,0.0277,0.0397,0.0327,0.0165,0.023,0.0355,0.1025,0.0607,0.0204,0.0103
186.0,0.0528,0.0383,0.0196,0.0109,0.0276,0.1513,0.0443,0.0172,0.0102,0.0
504.0,0.0532,0.0403,0.0214,0.0121,0.0255,0.1458,0.0468,0.0199,0.0124,0.0
1382.0,0.12,0.1061,0.0345,0.0164,0.0098,0.0052,0.0475,0.0272,0.0146,0.0089
774.0,0.0131,0.022,0.0282,0.0244,0.0287,0.013,0.0243,0.0866,0.057,0.0196
654.0,0.0256,0.0437,0.0417,0.0235,0.0239,0.0288,0.0651,0.0724,0.0269,0.0121
496.0,0.0,0.0114,0.0108,0.0168,0.0512,0.0,0.0095,0.0089,0.0223,0.215
1390.0,0.0584,0.0399,0.0188,0.0097,0.0,0.1817,0.0545,0.0199,0.009,0.0
198.0,0.0,0.0109,0.0125,0.0309,0.1993,0.0,0.008,0.0091,0.0236,0.0642
242.0,0.0228,0.038,0.0331,0.0206,0.0304,0.0301,0.0876,0.0816,0.0244,0.0119
46.0,0.0163,0.0274,0.0274,0.0197,0.0339,0.0171,0.0458,0.1469,0.0262,0.0117
734.0,0.0265,0.1649,0.0369,0.0128,0.0209,0.0129,0.02,0.0157,0.011,0.0
1226.0,0.0452,0.1462,0.0534,0.0106,0.0,0.0274,0.0372,0.0257,0.0,0.0
394.0,0.0125,0.0316,0.1525,0.0435,0.0355,0.0,0.017,0.0242,0.0152,0.0
400.0,0.0,0.0107,0.0143,0.0462,0.1187,0.0,0.0,0.0136,0.0412,0.0949
1180.0,0.0676,0.0979,0.0379,0.0165,0.0123,0.0471,0.0494,0.0298,0.0154,0.0094
,0.0506,0.042,0.0209,0.0089,0.0,0.1417,0.0665,0.0234,0.0016,0.0
452.0,0.0327,0.1784,0.0313,0.011,0.0272,0.0156,0.0209,0.0152,0.0106,0.0
630.0,0.0206,0.0469,0.0689,0.0341,0.0279,0.0194,0.0346,0.0464,0.0298,0.0148
456.0,0.1435,0.0482,0.0208,0.0117,0.0276,0.0491,0.0324,0.0169,0.0114,0.0
710.0,0.0518,0.0386,0.0212,0.0111,0.0195,0.165,0.0479,0.0191,0.0106,0.0
432.0,0.0479,0.0491,0.0272,0.0145,0.0282,0.076,0.08,0.0303,0.0145,0.0092
136.0,0.0383,0.0414,0.026,0.0142,0.0293,0.068,0.1032,0.0314,0.0157,0.0102
,0.0963,0.0565,0.0236,0.0088,0.0,0.094,0.0538,0.0225,0.002,0.0
322.0,0.0097,0.0234,0.0618,0.104,0.0454,0.0,0.0158,0.0274,0.0346,0.0239
98.0,0.0872,0.0718,0.0307,0.0155,0.0287,0.0565,0.0446,0.0251,0.015,0.0097
642.0,0.0286,0.0434,0.0319,0.0163,0.0224,0.0375,0.094,0.0521,0.0185,0.0088
1378.0,0.0284,0.0551,0.0579,0.03,0.013,0.0284,0.0515,0.0583,0.0288,0.0128
52.0,0.0,0.0126,0.0224,0.0676,0.0932,0.0,0.0,0.0195,0.0581,0.0713
,0.0703,0.0615,0.0306,0.0142,0.0,0.0884,0.0689,0.0309,0.0139,0.0
382.0,0.0966,0.0773,0.0275,0.0121,0.0255,0.0492,0.0401,0.022,0.0117,0.0
1058.0,0.0515,0.0428,0.0226,0.0108,0.0088,0.1399,0.0801,0.0259,0.0105,0.0
140.0,0.0878,0.103,0.0298,0.0133,0.0292,0.0362,0.0329,0.0205,0.0136,0.0096
762.0,0.0435,0.035,0.0194,0.0,0.0202,0.1531,0.051,0.0182,0.0099,0.0
1012.0,0.0,0.0139,0.0289,0.1412,0.0732,0.0,0.0103,0.0204,0.0442,0.0466
386.0,0.0265,0.046,0.0416,0.0229,0.0287,0.0259,0.0575,0.0658,0.0253,0.0112
,0.0615,0.0439,0.0209,0.0,0.0,0.1666,0.0556,0.0215,0.0,0.0
840.0,0.0762,0.0448,0.0212,0.0,0.0184,0.109,0.0468,0.0175,0.0091,0.0
314.0,0.0439,0.0696,0.0394,0.018,0.0293,0.0406,0.054,0.0344,0.0155,0.0097
830.0,0.0123,0.0219,0.0272,0.0198,0.0254,0.0112,0.0344,0.1488,0.0308,0.0138
,0.0,0.0,0.0125,0.0395,0.084,0.0,0.0,0.0134,0.0451,0.1499
718.0,0.0426,0.0397,0.0237,0.0122,0.0193,0.1251,0.0825,0.0248,0.0122,0.0
672.0,0.0,0.0117,0.0147,0.0322,0.1105,0.0,0.0096,0.0121,0.0333,0.1619
176.0,0.0314,0.0533,0.0443,0.0226,0.0302,0.0332,0.0612,0.0528,0.0225,0.0118
362.0,0.0291,0.0427,0.0323,0.0184,0.0279,0.035,0.0896,0.0605,0.0207,0.0096
,0.0,0.0,0.0121,0.0392,0.1296,0.0,0.0,0.0121,0.0366,0.1254
,0.0275,0.1181,0.094,0.0231,0.0,0.0206,0.0298,0.028,0.0165,0.0
1036.0,0.0838,0.0491,0.0212,0.0088,0.0,0.1212,0.053,0.021,0.0,0.0
756.0,0.0,0.0148,0.0249,0.1136,0.1165,0.0,0.0119,0.0182,0.0379,0.0522
288.0,0.0159,0.0383,0.1065,0.0492,0.0371,0.0133,0.0228,0.0324,0.029,0.0174
350.0,0.0305,0.0339,0.0203,0.0122,0.0271,0.0577,0.1513,0.0272,0.0125,0.0
1326.0,0.0,0.015,0.0252,0.0557,0.0587,0.0,0.0137,0.0299,0.0915,0.095
,0.1125,0.0785,0.0288,0.0103,0.0,0.0573,0.0462,0.0234,0.0094,0.0
,0.0,0.0099,0.0197,0.0754,0.15,0.0,0.0,0.017,0.0365,0.0584
570.0,0.0182,0.0411,0.1276,0.0505,0.0317,0.0164,0.0248,0.0326,0.0289,0.0166
380.0,0.0307,0.0259,0.0143,0.009,0.0254,0.2111,0.0306,0.0135,0.0089,0.0
,0.013,0.0298,0.0524,0.0531,0.0244,0.0136,0.0305,0.0732,0.0681,0.0297
278.0,0.0149,0.0368,0.0624,0.0399,0.0373,0.0124,0.029,0.0505,0.0356,0.0191
236.0,0.286,0.0246,0.0115,0.0,0.0255,0.0172,0.0147,0.0,0.0,0.0
134.0,0.0218,0.0363,0.0368,0.0251,0.0331,0.0211,0.0588,0.11,0.0327,0.0164
