sample_number,x1,y1,x2,y2,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,total flow rate,Comments,mfc10_residual,Day,number of leakage,quality
63,3930,4350,10430,1100,0.1072,0.0886,0.0506,0.0449,0.0499,0.0482,0.0471,0.0771,0.1039,0.0341,0.6516,,0.0238,2,2,
64,10430,1100,,,0.0109,0.0202,0.0305,0.0383,0.0476,0.0088,0.0177,0.0616,0.0977,0.0314,0.3647,,0.0238,2,1,
65,10430,1100,14680,2600,0.0101,0.0219,0.0389,0.0731,0.1547,0,0.0192,0.0704,0.1321,0.1591,0.6795,,0.0238,2,2,
66,14680,2600,,,0,0,0.0143,0.0411,0.1298,0,0,0.0128,0.0402,0.1266,0.3648,unknown leakage,0.0238,2,1,
67,14680,2600,430,350,0.0481,0.0381,0.027,0.0452,0.131,0.1515,0.0443,0.027,0.0444,0.1278,0.6844,didn’t check residual leakage on port 10. fixed leakage with 2 step method,0.0238,3,2,
68,430,350,,,0.0479,0.0369,0.0216,0.0149,0.0315,0.151,0.0429,0.0206,0.0145,0.0127,0.3945,,0.0238,3,1,
69,430,350,10430,1850,0.0537,0.0509,0.0512,0.0577,0.0542,0.1573,0.0563,0.0706,0.0908,0.0405,0.6832,,0.0238,3,2,
70,10430,1850,,,0.0134,0.0246,0.0402,0.0537,0.0532,0.0129,0.0223,0.0586,0.0865,0.0389,0.4043,,0.0238,3,1,
71,10430,1850,9680,850,0.0193,0.038,0.0643,0.0792,0.0672,0.019,0.0389,0.1431,0.1449,0.0566,0.6705,,0.0238,3,2,
72,9680,850,,,0.0138,0.0241,0.0339,0.0367,0.0434,0.0136,0.0252,0.0943,0.0701,0.028,0.3831,,0.0238,3,1,
73,9680,850,11680,2850,0.0158,0.0322,0.0588,0.1066,0.0873,0.0151,0.0321,0.1179,0.1278,0.0725,0.6661,,0.0238,3,2,
74,11680,2850,,,0.0111,0.0198,0.0353,0.0819,0.0741,0.0105,0.0164,0.033,0.0691,0.055,0.4062,,0.0238,3,1,
75,11680,2850,6930,4600,0.035,0.1132,0.1102,0.098,0.0788,0.0288,0.0403,0.0571,0.0816,0.0605,0.7035,,0.0238,3,2,
76,6930,4600,,,0.031,0.1031,0.0848,0.027,0.0338,0.0245,0.0319,0.0316,0.0222,0.0147,0.4046,,0.0238,3,1,
77,6930,4600,3680,100,0.073,0.139,0.1022,0.0337,0.0352,0.1665,0.1182,0.0547,0.0294,0.0166,0.7685,,0.0238,3,2,
78,3680,100,,,0.0501,0.0462,0.0273,0.0167,0.0309,0.15,0.095,0.031,0.0169,0.0122,0.4763,,0.0238,3,1,
79,3680,100,13430,850,0.051,0.0492,0.0359,0.0448,0.0752,0.1513,0.0982,0.0426,0.0809,0.144,0.7731,,0.0238,3,2,
80,13430,850,,,0.0093,0.0144,0.0189,0.0386,0.0728,0.0005,0.0122,0.0204,0.074,0.1405,0.4016,,0.0238,3,1,
81,13430,850,14430,3100,0,0.0139,0.0252,0.0735,0.1868,0,0.0115,0.0274,0.1025,0.2241,0.6649,,0.0238,3,2,
82,14430,3100,,,0,0.0117,0.0169,0.0466,0.1495,0,0.0095,0.0151,0.0391,0.0984,0.3868,,0.0238,3,1,
83,14430,3100,5180,2600,0.0115,0.0255,0.0527,0.1062,0.1746,0.0094,0.0213,0.0544,0.1012,0.1293,0.6861,,0.0238,3,2,
85,5180,2600,1180,2850,,,,,,,,,,,0,outside,0.0238,3,2,
86,1180,2850,,,,,,,,,,,,,0,outside,0.0238,3,1,
87,1180,2850,1180,1600,,,,,,,,,,,0,outside,0.0238,3,2,
88,1180,1600,,,0.0562,0.04,0.0212,0.0126,0.0289,0.1369,0.0457,0.0201,0.0126,0.0094,0.3836,,0.0238,3,1,
89,1180,1600,15930,3850,0.0566,0.0414,0.0259,0.0399,0.1938,0.1372,0.0469,0.0251,0.0339,0.0875,0.6882,,0.0238,3,2,
90,15930,3850,,,0.0098,0.0139,0.0164,0.0377,0.1923,0.0094,0.0117,0.0143,0.0315,0.0864,0.4234,,0.0238,3,1,
91,15930,3850,930,5100,,,,,,,,,,,0,outside,0.0238,3,2,
92,930,5100,,,,,,,,,,,,,0,outside,0.0238,3,1,
93,930,5100,9180,3100,,,,,,,,,,,0,outside,0.0238,3,2,
94,9180,3100,,,,,,,,,,,,,0,outside,0.0238,3,1,
95,9180,3100,10180,5100,,,,,,,,,,,0,outside,0.0238,3,2,
96,10180,5100,,,,,,,,,,,,,0,outside,0.0238,3,1,
97,10180,5100,3930,3600,,,,,,,,,,,0,outside,0.0238,3,2,
98,3930,3600,,,0.0872,0.0718,0.0307,0.0155,0.0287,0.0565,0.0446,0.0251,0.015,0.0097,0.3848,,0.0238,3,1,
99,3930,3600,8930,5100,,,,,,,,,,,0,outside,0.0238,3,2,
100,8930,5100,,,,,,,,,,,,,0,outside,0.0238,3,1,
101,8930,5100,3430,3850,,,,,,,,,,,0,outside,0.0238,3,2,
102,3430,3850,,,0.1048,0.0643,0.0275,0.0148,0.0282,0.0555,0.0404,0.0226,0.0143,0.0098,0.3822,,0.0238,3,1,
103,3430,3850,12430,4100,0.1067,0.07,0.045,0.1237,0.0964,0.0574,0.0446,0.0363,0.0475,0.0517,0.6793,,0.0238,3,2,
104,12430,4100,,,0,0.0151,0.0264,0.1177,0.0943,0,0.0121,0.0207,0.0419,0.049,0.3772,,0.0238,3,1,
105,12430,4100,10430,1350,0.0121,0.0263,0.0513,0.1503,0.112,0.0104,0.0244,0.0768,0.1294,0.0753,0.6683,,0.0238,3,2,
106,10430,1350,,,0.0116,0.0217,0.0343,0.0447,0.0486,0.0107,0.0209,0.0635,0.0981,0.036,0.3901,,0.0238,3,1,
107,10430,1350,180,850,,,,,,,,,,,0,outside,0.0238,3,2,
108,180,850,,,,,,,,,,,,,0,outside,0.0238,3,1,
109,180,850,7680,1350,,,,,,,,,,,0,outside,0.0238,3,2,
110,7680,1350,,,0.0234,0.0389,0.0417,0.0287,0.0353,0.0255,0.056,0.0935,0.0344,0.0175,0.3949,,0.0238,3,1,
111,7680,1350,12430,100,,,,,,,,,,,0,outside,0.0238,3,2,
112,12430,100,,,,,,,,,,,,,0,outside,0.0238,3,1,
113,12430,100,9180,4600,,,,,,,,,,,0,outside,0.0238,3,2,
114,9180,4600,,,,,,,,,,,,,0,outside,0.0238,3,1,
115,9180,4600,12180,600,0.0167,0.0384,0.1343,0.0833,0.0679,0.0146,0.0252,0.0483,0.1632,0.0724,0.6643,,0.0238,3,2,
116,12180,600,,,0,0.0122,0.018,0.0334,0.054,0,0.0107,0.0227,0.1377,0.059,0.3477,,0.0238,3,1,
117,12180,600,8680,850,0.0149,0.0291,0.0424,0.0526,0.0628,0.0143,0.0363,0.1482,0.1689,0.0693,0.6388,,0.0238,3,2,
118,8680,850,,,0.0155,0.0266,0.033,0.0288,0.0366,0.0158,0.0335,0.1324,0.0394,0.0184,0.38,,0.0238,3,1,
119,8680,850,3430,2600,0.0978,0.0861,0.0576,0.0375,0.0397,0.1098,0.0919,0.1549,0.0483,0.0218,0.7454,,0.0238,3,2,
120,3430,2600,,,0.0866,0.0669,0.0323,0.0168,0.0302,0.0972,0.064,0.0292,0.0143,0.0101,0.4476,,0.0238,3,1,
121,3430,2600,9930,4100,0.094,0.0874,0.1027,0.0935,0.0525,0.104,0.0773,0.0577,0.0463,0.0302,0.7456,,0.0238,3,2,
122,9930,4100,,,0.015,0.0304,0.0795,0.0854,0.0497,0.0137,0.0213,0.0345,0.0383,0.0269,0.3947,,0.0238,3,1,
123,9930,4100,15930,2350,0.0137,0.0308,0.0844,0.1086,0.1449,0.0118,0.0216,0.0399,0.062,0.153,0.6707,,0.0238,3,2,
124,15930,2350,,,0,0.0119,0.0146,0.0342,0.1265,0,0.01,0.012,0.0315,0.1353,0.376,,0.0238,3,1,
125,15930,2350,2680,100,0.0258,0.0234,0.0182,0.0347,0.1261,0.1977,0.0339,0.0174,0.0322,0.1353,0.6447,,0.0238,3,2,
126,2680,100,,,0.032,0.0277,0.0156,0.0039,0.0239,0.2448,0.0405,0.0155,0.0092,0,0.4131,Observed residual leakage of 0.0238 on port 10,0.0238,4,1,
127,2680,100,10930,4600,0.0355,0.0394,0.058,0.1496,0.0494,0.2432,0.0477,0.0352,0.0384,0.0289,0.7253,,0.0238,4,2,
128,10930,4600,,,0.0137,0.0246,0.0515,0.1467,0.05,0.0099,0.018,0.0274,0.0361,0.0284,0.4063,,0.0238,4,1,
129,10930,4600,14430,600,,,,,,,,,,,0,outside,0.0238,4,2,
130,14430,600,,,,,,,,,,,,,0,outside,0.0238,4,1,
131,14430,600,15680,600,,,,,,,,,,,0,outside,0.0238,4,2,
132,15680,600,,,,,,,,,,,,,0,outside,0.0238,4,1,
133,15680,600,7680,850,,,,,,,,,,,0,outside,0.0238,4,2,
134,7680,850,,,0.0218,0.0363,0.0368,0.0251,0.0331,0.0211,0.0588,0.11,0.0327,0.0164,0.3921,,0.0238,4,1,
135,7680,850,4680,850,0.0532,0.068,0.0542,0.0317,0.0359,0.0866,0.1534,0.1332,0.0394,0.0185,0.6741,,0.0238,4,2,
136,4680,850,,,0.0383,0.0414,0.026,0.0142,0.0293,0.068,0.1032,0.0314,0.0157,0.0102,0.3777,,0.0238,4,1,
137,4680,850,8930,3600,0.0498,0.0738,0.1099,0.0603,0.0435,0.079,0.1229,0.0692,0.0455,0.0247,0.6786,,0.0238,4,2,
138,8930,3600,,,0.0184,0.0424,0.0929,0.0532,0.0414,0.0153,0.0277,0.044,0.0378,0.0222,0.3953,,0.0238,4,1,
139,8930,3600,4430,5100,0.0997,0.1351,0.1141,0.0595,0.0437,0.047,0.0531,0.0588,0.0436,0.0242,0.6788,,0.0238,4,2,
140,4430,5100,,,0.0878,0.103,0.0298,0.0133,0.0292,0.0362,0.0329,0.0205,0.0136,0.0096,0.3759,,0.0238,4,1,
141,4430,5100,6930,4600,0.11,0.195,0.1934,0.0291,0.0317,0.053,0.0554,0.0434,0.0251,0.0131,0.7492,,0.0238,4,2,
142,6930,4600,,,,,,,,,,,,,0,Repeat,0.0238,4,1,
143,6930,4600,10430,3600,0.0356,0.1198,0.1322,0.1053,0.0583,0.0275,0.0422,0.0591,0.0593,0.037,0.6763,,0.0238,4,2,
144,10430,3600,,,0.0124,0.0261,0.0586,0.0891,0.0527,0.0103,0.0193,0.0355,0.0467,0.0312,0.3819,,0.0238,4,1,
145,10430,3600,9180,350,0.0171,0.0377,0.077,0.1062,0.0617,0.0155,0.0358,0.1654,0.0847,0.0427,0.6438,,0.0238,4,2,
146,9180,350,,,0.0121,0.0217,0.0268,0.0244,0.0358,0.0113,0.0245,0.1352,0.0462,0.0188,0.3568,,0.0238,4,1,
147,9180,350,5680,2600,0.0505,0.08,0.0605,0.037,0.0395,0.0512,0.0783,0.167,0.0581,0.0232,0.6453,,0.0238,4,2,
148,5680,2600,,,0.0444,0.0673,0.0411,0.0188,0.0301,0.0439,0.0608,0.0378,0.0192,0.0109,0.3743,,0.0238,4,1,
149,5680,2600,10180,2850,0.0524,0.0869,0.0876,0.0788,0.0556,0.0521,0.0767,0.08,0.0711,0.0377,0.6789,,0.0238,4,2,
150,10180,2850,,,0.0136,0.0281,0.0537,0.0663,0.0509,0.012,0.0225,0.0458,0.0584,0.0325,0.3838,,0.0238,4,1,
151,10180,2850,680,2850,,,,,,,,,,,0,outside,0.0238,4,2,
152,680,2850,,,,,,,,,,,,,0,outside,0.0238,4,1,
153,680,2850,4180,4850,,,,,,,,,,,0,outside,0.0238,4,2,
154,4180,4850,,,,,,,,,,,,,0,outside,0.0238,4,1,
155,4180,4850,13680,100,,,,,,,,,,,0,outside,0.0238,4,2,
156,13680,100,,,,,,,,,,,,,0,outside,0.0238,4,1,
157,13680,100,9680,100,,,,,,,,,,,0,outside,0.0238,4,2,
158,9680,100,,,,,,,,,,,,,0,outside,0.0238,4,1,
159,9680,100,11680,4850,,,,,,,,,,,0,outside,0.0238,4,2,
160,11680,4850,,,,,,,,,,,,,0,outside,0.0238,4,1,
161,11680,4850,12930,2600,,,,,,,,,,,0,outside,0.0238,4,2,
162,12930,2600,,,0,0.0137,0.0219,0.0591,0.092,0,0.0108,0.0191,0.0603,0.0815,0.3584,,0.0238,4,1,
163,12930,2600,3430,2100,0.0656,0.0576,0.0406,0.066,0.094,0.0948,0.0637,0.039,0.067,0.0839,0.6722,,0.0238,4,2,
164,3430,2100,,,0.0633,0.0519,0.0259,0.0129,0.0285,0.0925,0.0588,0.0233,0.0133,0,0.3704,,0.0238,4,1,
165,3430,2100,930,600,0.1052,0.0785,0.0365,0.0159,0.0275,0.2382,0.0944,0.0352,0.0166,0,0.648,,0.0238,4,2,
166,930,600,,,0.0483,0.0361,0.0189,0.0103,0.0268,0.1541,0.0424,0.0164,0.0111,0,0.3644,,0.0238,4,1,
167,930,600,10930,600,0.0515,0.0439,0.036,0.0372,0.0445,0.1575,0.0515,0.0584,0.1454,0.035,0.6609,,0.0238,4,2,
168,10930,600,,,0.0106,0.0189,0.026,0.0339,0.0444,0.0098,0.0173,0.0469,0.1403,0.0337,0.3818,,0.0238,4,1,
169,10930,600,12180,3350,0.0104,0.0241,0.0469,0.1208,0.1013,0.0031,0.0213,0.0644,0.1842,0.0807,0.6572,,0.0238,4,2,
170,12180,3350,,,0.009,0.0174,0.0303,0.0957,0.0851,0,0.0134,0.0228,0.0522,0.0548,0.3807,,0.0238,4,1,
171,12180,3350,2180,2100,0.0708,0.054,0.0444,0.1004,0.0862,0.118,0.0552,0.0377,0.0572,0.0565,0.6804,,0.0238,4,2,
172,2180,2100,,,0.068,0.0464,0.0229,0.0123,0.0289,0.1151,0.0491,0.0198,0.0115,0.0054,0.3794,,0.0238,4,1,
173,2180,2100,7930,4850,,,,,,,,,,,0,Not sure if I will be able to seal the leakage on y axis,0.0238,4,2,
174,7930,4850,,,,,,,,,,,,,0,Not sure if I will be able to seal the leakage on y axis,0.0238,4,1,
175,7930,4850,6680,2100,,,,,,,,,,,0,Not sure if I will be able to seal the leakage on y axis,0.0238,4,2,
176,6680,2100,,,0.0314,0.0533,0.0443,0.0226,0.0302,0.0332,0.0612,0.0528,0.0225,0.0118,0.3633,,0.0238,4,1,
177,6680,2100,14180,600,,,,,,,,,,,0,outside,0.0238,4,2,
178,14180,600,,,,,,,,,,,,,0,outside,0.0238,4,1,
179,14180,600,930,5100,,,,,,,,,,,0,outside,0.0238,4,2,
180,930,5100,,,,,,,,,,,,,0,outside,0.0238,4,1,
181,930,5100,15430,3100,,,,,,,,,,,0,outside,0.0238,4,2,
182,15430,3100,,,0.0093,0.0135,0.0154,0.0364,0.1583,0,0.0105,0.0117,0.0315,0.1067,0.3933,,0.0238,4,1,
183,15430,3100,8180,3600,0.0202,0.0526,0.0955,0.0663,0.1663,0.0165,0.0309,0.046,0.053,0.1158,0.6631,,0.0238,4,2,
184,8180,3600,,,0.0209,0.0513,0.0896,0.0388,0.0364,0.0177,0.0301,0.0399,0.0289,0.0171,0.3707,,0.0238,4,1,
185,8180,3600,930,1100,0.0677,0.0806,0.1012,0.0424,0.0367,0.1646,0.068,0.053,0.0328,0.0176,0.6646,,0.0238,4,2,
186,930,1100,,,0.0528,0.0383,0.0196,0.0109,0.0276,0.1513,0.0443,0.0172,0.0102,0,0.3722,,0.0238,4,1,
187,930,1100,2930,3350,0.1408,0.0842,0.0353,0.0151,0.0266,0.2071,0.0785,0.0315,0.0142,0,0.6333,,0.0238,4,2,
188,2930,3350,,,0.097,0.0565,0.0241,0.0118,0.0271,0.0694,0.0425,0.0194,0.018,0,0.3658,,0.0238,4,1,
189,2930,3350,14430,3350,0.1003,0.0604,0.0324,0.0479,0.1574,0.0721,0.0455,0.0272,0.0377,0.084,0.6649,,0.0238,4,2,
190,14430,3350,,,0,0.0123,0.0156,0.043,0.1563,0,0.0093,0.0118,0.0327,0.0824,0.3634,,0.0238,4,1,
191,14430,3350,2930,3350,0.0977,0.059,0.0318,0.0481,0.1591,0.0702,0.0444,0.027,0.0379,0.0844,0.6596,,0.0238,4,2,
192,2930,3350,,,,,,,,,,,,,0,repeat,0.0238,4,1,
193,2930,3350,6180,4100,0.1306,0.1603,0.0741,0.0265,0.0319,0.0943,0.0726,0.0447,0.0228,0.0124,0.6702,,0.0238,4,2,
194,6180,4100,,,0.0404,0.1131,0.057,0.0207,0.0296,0.0295,0.0365,0.0292,0.0172,0.0102,0.3834,,0.0238,4,1,
195,6180,4100,6430,3600,0.0708,0.1925,0.1075,0.0361,0.0337,0.0544,0.0706,0.0589,0.0302,0.0151,0.6698,,0.0238,4,2,
196,6430,3600,,,0.0376,0.0897,0.0587,0.0227,0.0306,0.0303,0.0407,0.0342,0.0192,0.0112,0.3749,,0.0238,4,1,
197,6430,3600,15180,4100,0.0374,0.0905,0.063,0.0459,0.2051,0.0297,0.0414,0.0383,0.0362,0.07,0.6575,,0.0238,4,2,
198,15180,4100,,,0,0.0109,0.0125,0.0309,0.1993,0,0.008,0.0091,0.0236,0.0642,0.3585,,0.0238,4,1,
199,15180,4100,8430,4850,0.01,0.033,0.19,0.0503,0.2029,0,0.0147,0.0222,0.0335,0.0689,0.6255,,0.0238,4,2,
200,8430,4850,,,0.0122,0.0336,0.1847,0.0279,0.0314,0.009,0.0158,0.0193,0.0174,0.0118,0.3631,,0.0238,4,1,
201,8430,4850,8180,2100,0.0272,0.0652,0.225,0.0533,0.0402,0.0254,0.0497,0.085,0.0465,0.0227,0.6402,,0.0238,4,2,
202,8180,2100,,,0.0198,0.0392,0.046,0.032,0.0344,0.0193,0.0391,0.0694,0.0348,0.0168,0.3508,,0.0238,4,1,
203,8180,2100,14930,1100,0.0201,0.0406,0.05,0.0473,0.0776,0.0194,0.0404,0.074,0.0548,0.223,0.6472,,0.0238,4,2,
204,14930,1100,,,0,0.0105,0.0094,0.0217,0.0682,0,0,0.0062,0.0264,0.2085,0.3509,,0.0238,4,1,
205,14930,1100,5430,1600,0.0365,0.0474,0.0311,0.0306,0.0705,0.0487,0.085,0.0415,0.0358,0.2093,0.6364,,0.0238,4,2,
206,5430,1600,,,0.0368,0.0468,0.0283,0.0161,0.0282,0.049,0.0845,0.0378,0.0162,0,0.3437,,0.0238,4,1,
207,5430,1600,1930,3350,0.1295,0.0907,0.0442,0.0211,0.0284,0.128,0.1215,0.0529,0.021,0,0.6373,,0.0238,4,2,
208,1930,3350,,,0.0989,0.052,0.0214,0.0119,0.0264,0.084,0.0431,0.0193,0.0111,0,0.3681,,0.0238,4,1,
209,1930,3350,10430,3850,0.104,0.0671,0.0708,0.0978,0.049,0.0889,0.0535,0.0443,0.0439,0.0259,0.6452,,0.0238,4,2,
210,10430,3850,,,0.0105,0.0235,0.0555,0.0926,0.0477,0.0002,0.0163,0.0295,0.0387,0.0241,0.3386,,0.0238,4,1,
211,10430,3850,10180,4600,0.0161,0.0414,0.1244,0.1832,0.068,0.0132,0.0272,0.0542,0.0676,0.0424,0.6377,,0.0238,4,2,
212,10180,4600,,,0.0124,0.0272,0.0753,0.0993,0.0459,0.0104,0.018,0.029,0.0351,0.0222,0.3748,,0.0238,4,1,
